[31-Jan-2013 02:18:00]  <IllFlower> and off we go.
[31-Jan-2013 02:50:04]  * Miaka_Watanabe_[Barcode] smiles meekly, eyes going glossy. "Oh, Mom. I'm so glad you're here." She gently picks up one of the chocolates. "...Did they say I can have these...?"
[31-Jan-2013 02:51:06]  <Miaka_Watanabe_[Barcode]> She starts unwrapping one gently regardless.
[31-Jan-2013 02:51:10]  <Miaka_Watanabe_[Barcode]> slowly regardless*
[31-Jan-2013 02:51:35]  <Miaka_Watanabe_[Barcode]> ((side note, computer fixin's going on, so I may slip in and out. I should be able to get in here and type in RPings in the meantime but in case it's taking me a while))
[31-Jan-2013 02:51:37]  <IllFlower> "since when did I need their permission to get you anything?" she laughs. "of course you can have one.
[31-Jan-2013 02:52:55]  <IllFlower> "I can't believe the doctor when he says you might need to be here for a few weeks, honestly. all those other girls are out already, and you look perfectly fine to me." **
[31-Jan-2013 02:54:44]  *** saladside2 is now known as saladofdota
[31-Jan-2013 02:55:35]  * Miaka_Watanabe_[Barcode] frowns a little as she finally gets the chocolate free. "At least they're okay." A sudden thought makes her somewhat distressed. "Wait. What am I going to do about school?"
[31-Jan-2013 02:55:50]  <Miaka_Watanabe_[Barcode]> (("take home assignments", yeah yeah, but >in hospital))
[31-Jan-2013 02:56:15]  <Miaka_Watanabe_[Barcode]> ((just woke up in hospital*))
[31-Jan-2013 02:56:44]  <IllFlower> implication is that she's been there for a couple of days already, in case that wasn't clear.
[31-Jan-2013 02:57:26]  <IllFlower> I imagine her mother would be rather less composed otherwise, haha
[31-Jan-2013 02:58:30]  <IllFlower> "I've been talking with your teachers about that," Miaka's mother says. "I wouldn't worry too much about that. it's not your fault you're in the hospital."
[31-Jan-2013 02:58:53]  <IllFlower> she starts opening her mouth again to speak, but notices something out of the corner of her eye, and stops short.
[31-Jan-2013 02:59:21]  <Miaka_Watanabe_[Barcode]> ((^^^^ah, right.))
[31-Jan-2013 02:59:22]  <IllFlower> Aoi is standing in the open doorway, holding a vase full of flowers.
[31-Jan-2013 03:00:28]  <IllFlower> another girl that Miaka doesn't recognize (that's Makoto) is standing off to one side, peeking in from Aoi's left. Aoi, for his part, is wearing an expression that says "I don't know what's going on, either."
[31-Jan-2013 03:00:36]  <Miaka_Watanabe_[Barcode]> ((side note, wrt parentnames, if you ever have to pick them go ahead, I have no preference))
[31-Jan-2013 03:01:50]  <Makoto> IllFlower: ((okay wait what's going on? how long have i known Aoi? how much do i know about what's currently happening, or what happened in the previous arc? context, halp))
[31-Jan-2013 03:01:56]  <IllFlower> Miaka's mother smiles. "looks like you've got someone more important than me to talk to. I need to be home for dinner soon, and you know how your sister is when it comes to all that." (watch me invent family members out of nowhere!)
[31-Jan-2013 03:02:27]  <Miaka_Watanabe_[Barcode]> ((dare you stretch my Heart from parents to whole family???))
[31-Jan-2013 03:02:35]  <Miaka_Watanabe_[Barcode]> ((Heart Relationship*))
[31-Jan-2013 03:02:36]  <IllFlower> she stands up, gives Miaka a kiss on the cheek, and heads out. she gives Aoi a playful elbow in the ribs on the way. **
[31-Jan-2013 03:02:43]  <Miaka_Watanabe_[Barcode]> ((lol.))
[31-Jan-2013 03:03:42]  <IllFlower> Aoi has no idea who this girl is -- Pyunpyun just dumped her on him as he was taking a visit, then a harried nurse handed him this vase and told him to bring it to this room...
[31-Jan-2013 03:03:46]  * Miaka_Watanabe_[Barcode] smiles more earnestly after the kiss, and watches her mother leave. She finally puts the chocolate in her mouth and looks at the two kids in the doorway.
[31-Jan-2013 03:04:13]  <Aoi> 14what's miaka look like here, i mean, is she a burning flesh golem or what
[31-Jan-2013 03:04:19]  <Makoto> IllFlower: ((Do I know that they are magical gi- er, girl and boy, or not))
[31-Jan-2013 03:04:23]  <Makoto> ((?))
[31-Jan-2013 03:04:31]  <Aoi> 14wait is makoto here
[31-Jan-2013 03:04:32]  <IllFlower> all Pyunpyun bothered to explain was something about "she's a fellow initiate, show her the ropes if you could."
[31-Jan-2013 03:04:35]  <Aoi> 14what is happening
[31-Jan-2013 03:04:49]  <IllFlower> Makoto's the girl standing next to Aoi...
[31-Jan-2013 03:04:52]  <Makoto> ((oh okay I do. yay))
[31-Jan-2013 03:04:57]  <Miaka_Watanabe_[Barcode]> ((aoi has been told by pyun to show makoto around. makoto's here with aoi to visit miaka. there ya go))
[31-Jan-2013 03:05:03]  <Aoi> 14oh i missed that
[31-Jan-2013 03:05:10]  <Miaka_Watanabe_[Barcode]> ((also you have flowers in your hands))
[31-Jan-2013 03:05:54]  <Aoi> "Ah, hi, MIaka.... we were just... burning to see... no, that's terrible."
[31-Jan-2013 03:06:01]  * Aoi tries to clear an edge table for the vase
[31-Jan-2013 03:06:36]  <IllFlower> Aoi: for what it's worth, Miaka looks pretty normal, other than the subtle shadow movement, which is pretty unnoticeable if you're not looking for it.
[31-Jan-2013 03:06:46]  * Miaka_Watanabe_[Barcode] frowns slightly. "Really?"
[31-Jan-2013 03:07:07]  <Aoi> 14noted.
[31-Jan-2013 03:07:22]  * Makoto has been busy bothering Aoi with a series of unimportant questions only tangentially related to the situation at hand. When she spot Miaka she instantly shifts gears.
[31-Jan-2013 03:07:28]  <Miaka_Watanabe_[Barcode]> She does notice the vase, though. "...But uh...thank you for those."
[31-Jan-2013 03:07:55]  <IllFlower> Miaka_Watanabe_[Barcode]: way ahead of you on the name-inventing.
[31-Jan-2013 03:08:01]  <Makoto> @Miaka: Hi how are you my name's Makoto what's you name how long have you been an initiate what's you favorite color do you think anglerfish ever get lonely...?
[31-Jan-2013 03:08:03]  <Miaka_Watanabe_[Barcode]> ((heh. good, good.))
[31-Jan-2013 03:08:12]  <Aoi> "I'm not really the mourning type... nothing bad enough to happen has happened to me, really.  I mean, until now."
[31-Jan-2013 03:08:32]  <Aoi> "So I have to express myself with these little tokens, righ- Um, Makoto, it's okay to breathe."
[31-Jan-2013 03:09:09]  * Makoto sits down and takes a few deep breaths, twiddling her fingers a little
[31-Jan-2013 03:09:36]  <Aoi> "This is Makoto.  She's new.  I guess, Pyunpyun just kind of, you know how he is."
[31-Jan-2013 03:09:37]  * Miaka_Watanabe_[Barcode] looks at Makoto, instantaneously getting slightly nervous. "H-hold on..." She tries her best to shoot a very powerful "who the hell is this?" glance at Aoi. ((also illflower what grounds has pyun given for us to keep magical girling secret)
[31-Jan-2013 03:09:37]  <Makoto> "S-sorry, it's just... you guys are actually the first other magical girls I've met since I made my contract and..."
[31-Jan-2013 03:09:46]  <Miaka_Watanabe_[Barcode]> ((imagine my message before aoi spoke))
[31-Jan-2013 03:10:20]  <IllFlower> Miaka_Watanabe_[Barcode]: well, not many secrets to keep now that you know she is one ;)
[31-Jan-2013 03:10:22]  <Makoto> "Er well. Magical girl and magical boy? Heh heh heh..."
[31-Jan-2013 03:10:51]  * Miaka_Watanabe_[Barcode] leans back, lolling the chocolate around. It's mostly done at this point. "Well, if you were expecting fast answers....you probably shouldn't ask someone in a hospital bed." She closes her eyes for a moment, looking like she's thinking hard.
[31-Jan-2013 03:11:03]  * Makoto seems to suddenly realize where she is
[31-Jan-2013 03:11:17]  *** AttObl <~AttObl@108-91-87-34.lightspeed.cicril.sbcglobal.net> has joined #madokamadness
[31-Jan-2013 03:11:18]  <IllFlower> Miaka_Watanabe_[Barcode]: harsh, man. :p
[31-Jan-2013 03:11:29]  <Makoto> "...w-wait. What happened? Are you okay? Did a witch do it?"
[31-Jan-2013 03:11:29]  <Miaka_Watanabe_[Barcode]> ((gotta try to remember my social is 3 at /some/ point))
[31-Jan-2013 03:11:47]  * Aoi briefly glares at Makoto for the "girls" thing
[31-Jan-2013 03:11:57]  * Miaka_Watanabe_[Barcode] suddenly goes extremely gloomy. "...You could say that."
[31-Jan-2013 03:12:05]  <Miaka_Watanabe_[Barcode]> goes extremely gloomy* no particular quickness
[31-Jan-2013 03:12:33]  <IllFlower> I almost named Miaka's mother "Aoi", just to rub it in, hahaha
[31-Jan-2013 03:12:37]  <Miaka_Watanabe_[Barcode]> ((what))
[31-Jan-2013 03:12:43]  <Aoi> 14it's a girl's name.
[31-Jan-2013 03:12:47]  <Miaka_Watanabe_[Barcode]> ((well, shit.))
[31-Jan-2013 03:12:47]  <Aoi> 14"sorta"
[31-Jan-2013 03:12:56]  <Makoto> "...Pyunpyun did say it would probably be dangerous sometimes..."
[31-Jan-2013 03:13:01]  <Aoi> "The others told me about the fight.  That was, well.  I'm sorry I wasn't there, I didn't think she would be so... well, you know."
[31-Jan-2013 03:13:36]  <Makoto> "I broke my wrist once. And then another time I broke my toe. And then once I fell down the stairs and cut my head and had to get stitches."
[31-Jan-2013 03:13:43]  * Miaka_Watanabe_[Barcode] makes a weird face at Aoi. Almost like betrayal, and then guilt for feeling betrayal.
[31-Jan-2013 03:13:57]  * Aoi winces
[31-Jan-2013 03:14:13]  <Miaka_Watanabe_[Barcode]> "It's...okay, I guess. Kei's been...taken care of."
[31-Jan-2013 03:14:44]  <Miaka_Watanabe_[Barcode]> "S-sorry, Makoto...I"m just, well. you can see. Is there something...specific you'd like me to answer?"
[31-Jan-2013 03:14:47]  <Makoto> "And then I fought a witch and fell like three stories but it didn't hurt that much! I guess because I'm magical now or something? Magic is pretty cool. You should /see/ how fast I can run now!"
[31-Jan-2013 03:15:29]  * Miaka_Watanabe_[Barcode] thinks to herself. An athlete, huh.
[31-Jan-2013 03:16:00]  * Aoi tries to picture Makoto and Sumire meeting.  Fails to shake off the horror.
[31-Jan-2013 03:16:05]  <Makoto> @Miaka: "Eh? Well I dunno. I guess I'm just kind of excited. Pyunpyun mentioned other initiates a couple times but gosh I'm just kind of excited to finally meet another magical girl! And boy."
[31-Jan-2013 03:16:53]  <Makoto> "Did you guys fight a bunch of witches already? Are you /hardened veterans?/ Heh heh heh. This is so cool."
[31-Jan-2013 03:17:03]  <Aoi> "Makoto..."
[31-Jan-2013 03:17:24]  <Makoto> "Hmm?"
[31-Jan-2013 03:17:25]  * Miaka_Watanabe_[Barcode] grimaces. "It's not so much fun, really. The real satisfaction is stopping witches, and even then..." Miaka looks away, muttering "Kei..."
[31-Jan-2013 03:17:36]  <Miaka_Watanabe_[Barcode]> the real reward is*
[31-Jan-2013 03:18:08]  *** JBridge <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has quit IRC (Quit: EXPLOSIONS)
[31-Jan-2013 03:18:25]  <Makoto> "Oh. Yeah. That's why I made my wish, really! To fight witches. I didn't really care about the wish so much. Although it is pretty cool, heh heh."
[31-Jan-2013 03:19:04]  <Miaka_Watanabe_[Barcode]> She looks worse for wear. She turns back to the two other initiates regardless. "We'll...well, they'll. Teach you the ropes. Please stay safe, and..." she swallows. "Don't ever lose hope."
[31-Jan-2013 03:19:10]  <Makoto> "Hey, Aoi. What did you wish for? A billion yen? A lifetime supply of sushi?"
[31-Jan-2013 03:19:21]  <Miaka_Watanabe_[Barcode]> ((berb, don't stop))
[31-Jan-2013 03:19:29]  <Aoi> "I'll tell you later, Makoto."
[31-Jan-2013 03:19:38]  * Makoto shrugs. "Mmkay."
[31-Jan-2013 03:19:58]  <Aoi> "Miaka, we won't, alright?  Right now we're all hoping you'll be out of bed and fine before we know it, too."
[31-Jan-2013 03:21:12]  * Makoto salutes Miaka. "Absolutely! Hey, Pyunpyun told me earlier that there are a bunch of other initiates in this city too! Wouldn't it be cool if we all fought witches together? I bet we could be any witch working together like that! Heh heh, it's like being in a manga or something."
[31-Jan-2013 03:22:15]  * Miaka_Watanabe_[Barcode] looks at Aoi again. "Did you tell her about what happened to us?"
[31-Jan-2013 03:22:32]  <Miaka_Watanabe_[Barcode]> "About Kei?"
[31-Jan-2013 03:23:14]  <Makoto> ((Makoto Fujiwara. Highly sensitive individual.))
[31-Jan-2013 03:23:16]  <Aoi> "Kinda hard to get a word in edgewise here..."
[31-Jan-2013 03:23:24]  * Miaka_Watanabe_[Barcode] glances at Makoto. Maybe she's being really harsh, but...she doesn't even remember everything that happened, herself...
[31-Jan-2013 03:24:07]  <Miaka_Watanabe_[Barcode]> "Makoto." Miaka fixes on her for a second. "Let...I think you should let Aoi tell you what happened. To me and the others."
[31-Jan-2013 03:24:35]  <Miaka_Watanabe_[Barcode]> ((probably don't even have to RP that out, as I think spruce has read the sessions? or you cahn just be like "we'll wait till later" I guess))
[31-Jan-2013 03:24:42]  <Aoi> 14are we actually going to go through that because i only half read the logs
[31-Jan-2013 03:25:04]  <Aoi> 14after the 30 it was like uhhhhh
[31-Jan-2013 03:25:33]  <IllFlower> Aoi explains what happened to Miaka and the others. he's not sure about some of the details, but he can hardly make Miaka flesh them out, so he does the best he can.
[31-Jan-2013 03:25:44]  <Aoi> 14perfection
[31-Jan-2013 03:26:18]  <IllFlower> he tries to emphasize the less... sane parts of what happened, like Kei's little demonstration of her healing ability. **
[31-Jan-2013 03:26:44]  * Makoto seems to finally snap out of her oblivious hyperexcitement a little bit as she listens to Aoi's explanation
[31-Jan-2013 03:27:10]  <Makoto> "G-gosh... that's terrible... uh... I guess... I'm probably annoying Miaka-chan right now, huh."
[31-Jan-2013 03:27:34]  <Miaka_Watanabe_[Barcode]> "N...It's. I don't want to scare you off, Makoto...you just need to understand. This is dangerous."
[31-Jan-2013 03:28:25]  <Makoto> "Pyunpyun did say it would be... but I don't care. It just means I'll have to fight extra hard now."
[31-Jan-2013 03:29:40]  * Makoto seems a little sobered, but determined
[31-Jan-2013 03:30:00]  <Makoto> "That's crazy though... it was another magical girl, huh...?"
[31-Jan-2013 03:30:14]  <Makoto> "And she turned /into/ a witch...?"
[31-Jan-2013 03:30:48]  * Makoto appears deep in thought
[31-Jan-2013 03:30:51]  * Miaka_Watanabe_[Barcode] nods. "You just...that's what I meant to warn you about. Why you can't lose hope. That'swhat happens when you lose hope..."
[31-Jan-2013 03:31:06]  <Makoto> "Do you think... she got bitten by a witch?"
[31-Jan-2013 03:31:36]  <IllFlower> Pyunpyun clearly skimped on the orientation materials with Makoto, which is pretty impressive considering how little he usually does. **
[31-Jan-2013 03:31:52]  <IllFlower> (or maybe Makoto just wasn't listening. who knows?)
[31-Jan-2013 03:32:02]  <Makoto> ((probably some combination of the two >_>))
[31-Jan-2013 03:32:12]  * Aoi looks at Makoto, incredulous at the girl
[31-Jan-2013 03:32:16]  * Miaka_Watanabe_[Barcode] softly puts both hands to her head. The IV hangs in the air. It doesn't seem to be entirely exasperation, given what she's recalling right now.
[31-Jan-2013 03:32:28]  <Makoto> "Like... how does that work... I wonder if you could ward off a witch with fried soybeans... or sticky rice..."
[31-Jan-2013 03:32:40]  * Makoto appears to be dead serious
[31-Jan-2013 03:32:40]  <Aoi> "You okay, Miaka?"
[31-Jan-2013 03:34:41]  <Makoto> ((am i laying it on a bit thick...?))
[31-Jan-2013 03:35:09]  <Miaka_Watanabe_[Barcode]> ((no no, this is good, I think. I'm just trying to not seem like I'm okay with what happened :P ))
[31-Jan-2013 03:36:03]  <Makoto> ((As well you should!))
[31-Jan-2013 03:36:18]  <Miaka_Watanabe_[Barcode]> "I guess." She starts lowering her arms. "If a magical girl is consumed with anguish, and she has nothing left to turn to...no emotional attachments to keep her chained to...I don't know how to say it..."
[31-Jan-2013 03:36:30]  <Miaka_Watanabe_[Barcode]> "...but they become witches."
[31-Jan-2013 03:36:56]  <Makoto> "Hope, huh... Hmm. I think Pyunpyun forgot to tell me that part... or did I just forget...?"
[31-Jan-2013 03:37:00]  * Makoto shakes her head
[31-Jan-2013 03:37:04]  <Makoto> "It doesn't matter."
[31-Jan-2013 03:37:19]  <Makoto> "Because I'm never gonna lose hope!"
[31-Jan-2013 03:38:09]  * Aoi ellipsises
[31-Jan-2013 03:41:16]  <ponicalica> 14super high school level magical girl
[31-Jan-2013 03:41:23]  <Makoto> ((looool))
[31-Jan-2013 03:41:24]  *** Xeniera was kicked by ponicalica (Xeniera)
[31-Jan-2013 03:42:11]  *** Nitya <~Glossina@63-229-134-7.ptld.qwest.net> has joined #madokamadness
[31-Jan-2013 03:42:15]  <Makoto> ((Ugh. Having trouble deciding what to say next.))
[31-Jan-2013 03:42:16]  * Miaka_Watanabe_[Barcode] smiles slightly. "Here's hoping. Just please remember, whenever you're feeling helpless...you can always turn to your friends. Don't ever let them go."
[31-Jan-2013 03:42:31]  *** Nitya is now known as aoi-
[31-Jan-2013 03:42:32]  * Makoto nods and looks SUPER SERIOUS
[31-Jan-2013 03:43:05]  <Miaka_Watanabe_[Barcode]> "I mean, Kei...she..." Miaka stops herself.
[31-Jan-2013 03:43:22]  <aoi-> Was alone. By the end. 
[31-Jan-2013 03:43:46]  <Miaka_Watanabe_[Barcode]> "That's...o-one way to put it."
[31-Jan-2013 03:43:52]  <Makoto> "So... what you guys are saying is... you wanna be my friends?'
[31-Jan-2013 03:45:15]  <Miaka_Watanabe_[Barcode]> ((should we roll for a bond check? like, to be on top of whatever makoto'll decide on later))
[31-Jan-2013 03:46:00]  <Miaka_Watanabe_[Barcode]> ((since she hasn't been much for offering consolation I guess it'd have to be a Magic relationship))
[31-Jan-2013 03:46:19]  <Makoto> ((I think Fury would be most appropriate))
[31-Jan-2013 03:46:22]  <IllFlower> yeah, that's fine. I'll count whatever works as part of Makoto's three relationships, and then the rest can be to NPCs of SpruceZeus' choosing.
[31-Jan-2013 03:46:33]  <Makoto> ((To her, her fellow initiates would be comrades-in-arms))
[31-Jan-2013 03:46:39]  <Miaka_Watanabe_[Barcode]> ((fury would be f- oh, true...))
[31-Jan-2013 03:46:50]  <aoi-> ((That's magic,  zudak.))
[31-Jan-2013 03:46:56]  <Makoto> ((Oh is it?))
[31-Jan-2013 03:47:09]  <Miaka_Watanabe_[Barcode]> ((magic's like, comradery in being magical girls; fury is healthy rivalries; heart isl ike, close friends))
[31-Jan-2013 03:47:16]  <Makoto> ((Ugh. Let me look up the appropriate part of the manual again
[31-Jan-2013 03:47:20]  <Makoto> ((okay))
[31-Jan-2013 03:47:26]  <IllFlower> "Heart relationships come from proper human feelings, Magic relationships come from common involvement in the world of the magical, and Fury relationships represent rivalries or camaraderie that arise from battle."
[31-Jan-2013 03:47:30]  <IllFlower> p. 10.
[31-Jan-2013 03:48:00]  <Miaka_Watanabe_[Barcode]> ((it'd be fun to be like, your mentor of sorts, but yeah gotta succeed the social roll I guess. yours rather than mine I assume? I guess you pick either me or aoi or agh))
[31-Jan-2013 03:48:03]  <Makoto> (("camaraderie that arise from battle" is veeeerrrrry Makoto))
[31-Jan-2013 03:48:17]  <Makoto> ((Can I roll to try and bond with both?))
[31-Jan-2013 03:48:27]  <IllFlower> yeah, go ahead.
[31-Jan-2013 03:48:39]  <IllFlower> 2d6+6 above 12.
[31-Jan-2013 03:49:11]  <IllFlower> the actual result doesn't matter beyond role-playing this scene; I'll make it a relationship with 0 Strain if you succeed.
[31-Jan-2013 03:49:23]  <IllFlower> if you don't, well, you might get some cold shoulders. ;)
[31-Jan-2013 03:49:49]  <Makoto> ((So a social roll would be 2d6 plus my social stat?))
[31-Jan-2013 03:49:55]  <Miaka_Watanabe_[Barcode]> ((yeah, hence +6))
[31-Jan-2013 03:49:58]  <Miaka_Watanabe_[Barcode]> ((I think?))
[31-Jan-2013 03:50:00]  <IllFlower> yup.
[31-Jan-2013 03:50:14]  <IllFlower> roll separately for Aoi and Miaka, I guess.
[31-Jan-2013 03:50:16]  <Miaka_Watanabe_[Barcode]> ((side note: TRAGBARENRECHNER ONLINE))
[31-Jan-2013 03:50:28]  <Makoto> ((okay, Aoi first, then Miaka))
[31-Jan-2013 03:50:30]  <IllFlower> Miaka_Watanabe_[Barcode]: worst MMO evar, man.
[31-Jan-2013 03:50:37]  <Makoto> +roll 2d6+6
[31-Jan-2013 03:50:37]  <rollermine> Makoto: (2+6)+6=14
[31-Jan-2013 03:50:44]  <Makoto> +roll 2d6+6
[31-Jan-2013 03:50:44]  <rollermine> Makoto: (2+1)+6=9
[31-Jan-2013 03:50:48]  <Miaka_Watanabe_[Barcode]> ((uh, shit))
[31-Jan-2013 03:50:49]  <Makoto> ((ouch))
[31-Jan-2013 03:51:04]  <Miaka_Watanabe_[Barcode]> ((oh, you made one relationship. I guess you pick ,or we assume it was aoi))
[31-Jan-2013 03:51:07]  <aoi-> ((I think you should switch. ))
[31-Jan-2013 03:51:18]  <Makoto> ((Okay that would actually make more sense probably))
[31-Jan-2013 03:51:41]  <aoi-> ((Aoi's not the one going on about friends,  here.))
[31-Jan-2013 03:52:09]  <IllFlower> attribute? I'd go for Mg, personally.
[31-Jan-2013 03:52:29]  <Makoto> ((Okay, Magic relationship with Miaka))
[31-Jan-2013 03:52:43]  <Makoto> ((And pissing off Aoi >_>))
[31-Jan-2013 03:53:05]  <IllFlower> okay, done. you can come up with two NPC relationships as needed later on.
[31-Jan-2013 03:53:08]  * Miaka_Watanabe_[Barcode] looks nervous. "I...well..." she reflects on what she had just said moments ago. "...Yeah, sure. I mean, the least I can do is help you learn, from here..."
