[21-Apr-2013 01:44:59]  <CharlaGM> Thaaaaat's everyone then.
[21-Apr-2013 01:54:16]  <Lin_Chong> Oh good, sharks.
[21-Apr-2013 01:54:22]  <BGT316|Amemiya> Fun
[21-Apr-2013 01:54:23]  <Lin_Chong> I hate sharks. 
[21-Apr-2013 01:54:26]  <TrooperBlake> Fuck fish.
[21-Apr-2013 01:54:31]  <Alan_Walsh> "I never liked seafood."
[21-Apr-2013 01:54:39]  <Cpldrake> truth is, it doesn't matter how good you are, having your meat cooked kills you the same
[21-Apr-2013 01:55:27]  <Cpldrake> (I misread fendel as fettel, and suddenly fear flashbacks)
[21-Apr-2013 01:55:30]  <Alan_Walsh> "So. Coffee."
[21-Apr-2013 01:56:12]  <Lin_Chong> Yes. Let's.
[21-Apr-2013 01:56:13]  <CharlaGM> "BREAKFAST IN FUCKING 15, FIRST COME FIRST SERVED, SO IF YOU ALL DON'T HURRY THE FUCK UP I DON'T WANNA HEAR YOU COMPLAIN ABOUT GOING HUNGRY!"
[21-Apr-2013 01:56:19]  <CharlaGM> "MOVEMOVEMOVE!"
[21-Apr-2013 01:56:25]  <Lin_Chong> Yes'm.
[21-Apr-2013 01:56:31]  <CharlaGM> (I'm trying to make the LT not in the usual mold of LTs.)
[21-Apr-2013 01:56:43]  * TrooperBlake books it to the mess hall.
[21-Apr-2013 01:56:48]  * BGT316|Amemiya follows
[21-Apr-2013 01:56:48]  <CharlaGM> (Half the time they're clones of the LT from Aliens.)
[21-Apr-2013 01:56:52]  <Alan_Walsh> I go to the cafeteria in a manner about halfway between a sprint and a hung-over lurch.
[21-Apr-2013 01:56:56]  <CharlaGM> "WHAT THE FUCK ARE YOU ALL DOING, PUT PANTS ON FIRST."
[21-Apr-2013 01:56:59]  <Cpldrake> "Give me a moment. Being frozen, launched through hyper-space, and bunking with Sergeant has worn me out
[21-Apr-2013 01:57:03]  <BGT316|Amemiya> (pfff)
[21-Apr-2013 01:57:09]  <Alan_Walsh> I look down.
[21-Apr-2013 01:57:12]  <Alan_Walsh> "Oh."
[21-Apr-2013 01:57:21]  * Cpldrake heads over to the mess hall
[21-Apr-2013 01:57:26]  <Cpldrake> Pants can wait
[21-Apr-2013 01:57:30]  <CharlaGM> "I CAN'T KEEP MY FOOD DOWN IF I KEEP THINKING ABOUT YOUR FUCKING DONGS."
[21-Apr-2013 01:57:34]  <Alan_Walsh> (Fuck pants.)
[21-Apr-2013 01:57:37]  <Nitya> 14Fiora: http://24.media.tumblr.com/2ef926ed00e9b41f7c2695d73f34e265/tumblr_mibheoxnVr1rgs9f3o1_500.gif
[21-Apr-2013 01:57:37]  <Omnipresence> 14URL: [24.media.tumblr.com] GIF image (500 × 190 pixels, 1.01 megabytes)
[21-Apr-2013 01:57:38]  * TrooperBlake sprints back, tosses on clothing haphazardly, runs back towards mess hall, fastening clothing on the way
[21-Apr-2013 01:57:57]  <Alan_Walsh> Nitya: (I WHIP MY HAIR BACK AND FORTH)
[21-Apr-2013 01:58:03]  <Fiora> ((nitya: pff XD))
[21-Apr-2013 01:58:20]  <Alan_Walsh> I sprint-lurch to get my clothing, and back to the mess hall.
[21-Apr-2013 01:58:21]  <Cpldrake> Who put this video of an Indian chick on the holoscreen?
[21-Apr-2013 01:58:22]  <Fiora> ((I don't think I've mastered the sex appeal hairflip though))
[21-Apr-2013 01:58:24]  <Lin_Chong> Bastard, pants are impermanent. 
[21-Apr-2013 01:58:45]  <Lin_Chong> So are dongs.
[21-Apr-2013 01:59:02]  <CharlaGM> LT Fendel shakes her head. Of all the squads to babysit...
[21-Apr-2013 01:59:02]  <TrooperBlake> [Yells back] Not me, Drake!
[21-Apr-2013 01:59:13]  <BGT316|Amemiya> I'm rather attached to mine
[21-Apr-2013 02:00:29]  * BGT316|Amemiya runs to retrieve clothing, dresses, sprints to mess hall
[21-Apr-2013 02:00:33]  <CharlaGM> DING! Breakfast now being served on deck 4. Today's meal: Tofu,  kelp salad, cornbread, synth-protein.
[21-Apr-2013 02:00:50]  <Cpldrake> Its all cold
[21-Apr-2013 02:01:10]  <Cpldrake> just because I'm pyrokinetic doesn't mean its my job to heat your shit
[21-Apr-2013 02:01:41]  <Lin_Chong> Cold is also impermanent. 
[21-Apr-2013 02:01:52]  <CharlaGM> "I...DRAKE, YOU FORGOT TO TAKE YOUR PILLS."
[21-Apr-2013 02:01:58]  <Cpldrake> Damn straight cold is impermanent
[21-Apr-2013 02:02:11]  <Cpldrake> everything is just waiting to be molten. man
[21-Apr-2013 02:02:12]  <CharlaGM> (Salad, psychics aren't supposed to exactly remember they're walking nukes.)
[21-Apr-2013 02:02:17]  *** JBridge|Connection_problems <~JBridge@c-71-198-84-239.hsd1.ca.comcast.net> has joined #madokamadness
[21-Apr-2013 02:02:23]  <CharlaGM> (That much said that's a funny-ass line.)
[21-Apr-2013 02:02:27]  <JBridge|Connection_problems> (Did I miss anything?)
[21-Apr-2013 02:02:44]  <BGT316|Amemiya> (the squad getting dressed, cold food)
[21-Apr-2013 02:02:46]  *** JBridge|Connection_problems is now known as JBridge
[21-Apr-2013 02:02:47]  * TrooperBlake starts gobbling down large forkfuls of food
[21-Apr-2013 02:02:53]  <JBridge> (So, nothing.)
[21-Apr-2013 02:02:59]  <CharlaGM> JBridge: (Nope.)
[21-Apr-2013 02:03:23]  <JBridge> (Also, someone kick Alan_Walsh for me.)
[21-Apr-2013 02:03:33]  <Cpldrake> (I'm also a pyromanaic by nature, so at any rate, I have big guns to burn thingsZ)
[21-Apr-2013 02:03:48]  <JBridge> Alan seems to have gathered enough of himself to put food into his mouth.
[21-Apr-2013 02:03:53]  <TrooperBlake> (Drake could just sorta half-assedly believe he's pyrokinetic.)
[21-Apr-2013 02:04:08]  <JBridge> @yt Beavis & Butthead fire
[21-Apr-2013 02:04:09]  <Omnipresence> 14JBridge: YouTube: (1/25) http://www.youtube.com/watch?v=VTz_pVRnXMQ — Beavis and Butt-Head watch Wax California — 18568 views (+2822 more characters)
[21-Apr-2013 02:04:22]  <TrooperBlake> (Like, he'll brag about it, but never puts his money where his mouth is.)
[21-Apr-2013 02:04:28]  <CharlaGM> Cpldrake: (Yeah, that's true.)
[21-Apr-2013 02:04:31]  *** Alan_Walsh <~JBridge@c-71-198-84-239.hsd1.ca.comcast.net> has quit IRC (Ping timeout: 190 seconds)
[21-Apr-2013 02:04:43]  *** JBridge is now known as Alan_Walsh
[21-Apr-2013 02:04:45]  <Cpldrake> (but I didn't know i didn't know I was a pscychic)
[21-Apr-2013 02:05:30]  <CharlaGM> Cpldrake: (You apparently keep memory-blocker drugs at intervals to try and forget the shit that made you a scary-ass psychic nuke in the first place.)
[21-Apr-2013 02:05:34]  <CharlaGM> (And it's ok.)
[21-Apr-2013 02:06:33]  <CharlaGM> CPL Chapeau swears in French under his breath and downs all his food as swiftly as possible, hoping to get it into his digestive system faster than his gag reflex can push it back out.
[21-Apr-2013 02:07:06]  * BGT316|Amemiya pokes at the synth-protein on his plate with a fork
[21-Apr-2013 02:07:18]  <Lin_Chong> Doesn't "chapeau" mean "hat"?
[21-Apr-2013 02:07:20]  * TrooperBlake mops up salad moisture with cornbread
[21-Apr-2013 02:07:52]  <Alan_Walsh> (Hey, it's better than corpsestarch.)
[21-Apr-2013 02:08:33]  <CharlaGM> CPL Chapeau: "Yes. It does. Did I mention I hate my parents?"
[21-Apr-2013 02:08:51]  <CharlaGM> The synth-protein on Amemiya's plate moves slightly.
[21-Apr-2013 02:08:59]  <Alan_Walsh> "No, but I doubt this'll be the last time you do."
[21-Apr-2013 02:09:03]  <Lin_Chong> Your parents didn't give you that name.
[21-Apr-2013 02:09:11]  <Lin_Chong> Your ancestors did. Hate them.
[21-Apr-2013 02:09:22]  <Cpldrake> Alan
[21-Apr-2013 02:09:28]  <Cpldrake> did I ever tell you about Volg?
[21-Apr-2013 02:09:30]  * TrooperBlake murmurs "silly Frenchies."
[21-Apr-2013 02:09:40]  <Alan_Walsh> "Do I want t' know?"
[21-Apr-2013 02:09:57]  <Cpldrake> Well someone mentioned corpsestarch, and that got me to thinking
[21-Apr-2013 02:10:15]  <Alan_Walsh> (Yeah, I've heard of Volg. Refluffed Latvian jokes, but damn good ones.)
[21-Apr-2013 02:10:46]  <Cpldrake> Old volg story for children. One day, little girl go to dispenser to buy corpsestarch. Mutant crawled out of a vent and took her to the sump pit for eating. Days later, family find little girl parts in waste duct
[21-Apr-2013 02:11:11]  <Cpldrake> Parts mutated and can't go into corpsestarch. Family executed for more corpsestarch
[21-Apr-2013 02:11:19]  <Cpldrake> Such is life on Volg.
[21-Apr-2013 02:11:22]  <CharlaGM> CPL Chapeau: "...I'm trying to eat here, Blake."
[21-Apr-2013 02:11:26]  <Alan_Walsh> (Remember to use parentheses for OOC.)
[21-Apr-2013 02:11:34]  <Alan_Walsh> Alan snerks.
[21-Apr-2013 02:11:42]  <TrooperBlake> I never said anything, Chapeau!
[21-Apr-2013 02:11:48]  <BGT316|Amemiya> Sounds fun
[21-Apr-2013 02:11:54]  <Alan_Walsh> "Who's on first?"
[21-Apr-2013 02:12:03]  <Lin_Chong> Family is impermanence. 
[21-Apr-2013 02:12:18]  <Cpldrake> You clearly haven't lived on Volg Lin
[21-Apr-2013 02:12:41]  <Cpldrake> If you are lucky, your family can always be a part of your body when you eat their corpsestarch
[21-Apr-2013 02:12:46]  <CharlaGM> Chapeau: "...I meant Drake."
[21-Apr-2013 02:12:49]  <Cpldrake> and you can't say that your impermanent right?
[21-Apr-2013 02:13:10]  <TrooperBlake> [To Chapeau] Damn straight.
[21-Apr-2013 02:14:47]  <CharlaGM> LT Fendel: "YOU MAGGOTS ALMOST DONE?"
[21-Apr-2013 02:15:08]  <Lin_Chong> One's body is impermanent too.
[21-Apr-2013 02:15:10]  <TrooperBlake> *Belches* More or less.
[21-Apr-2013 02:15:35]  <Alan_Walsh> "I managed to defeat my breakfast, yeah."
[21-Apr-2013 02:16:09]  * TrooperBlake tries to wash it down with water
[21-Apr-2013 02:16:14]  <Alan_Walsh> (One should keep in mind that Alan's taste buds are still knocked out from the cryosleep.)
[21-Apr-2013 02:16:27]  *** Barcode <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.sourcecable.net> has joined #madokamadness
[21-Apr-2013 02:16:27]  *** ChanServ sets mode: +o Barcode
[21-Apr-2013 02:16:29]  <CharlaGM> "GOOD! CAPTAIN SAYS FOR EVERYONE TO REPORT TO THE CCC ON DECK 1 ASAP, AND IF ANYONE FROM THIS SQUAD ISN'T UP THERE IN 10 IT'S ALL OUR ASSES ON THE FRIER!"
[21-Apr-2013 02:16:37]  <Cpldrake> huh, I don't remember my synth-protein being warm when I started eating. Such is good fortune
[21-Apr-2013 02:16:48]  <BGT316|Amemiya> I think mine was alive
[21-Apr-2013 02:16:49]  * Cpldrake perks up
[21-Apr-2013 02:16:56]  <Cpldrake> Whats this about frying?
[21-Apr-2013 02:16:56]  <CharlaGM> "AND BELIEVE ME, HE'S THE *MERCIFUL* ONE WHEN HE'S PISSED!"
[21-Apr-2013 02:17:43]  * Cpldrake gets up, talking to himself
[21-Apr-2013 02:17:48]  * Alan_Walsh hauls ass to deck 1.
[21-Apr-2013 02:17:49]  * TrooperBlake gets up, stretches again, and starts jogging towards CCC
[21-Apr-2013 02:17:52]  * BGT316|Amemiya follows
[21-Apr-2013 02:18:01]  <Cpldrake> since this is a beach adventure, I won't need pants today
[21-Apr-2013 02:18:02]  <Alan_Walsh> Miraculously, Alan manages to not trip on the way.
[21-Apr-2013 02:18:11]  * Cpldrake casually goes to deck 1
[21-Apr-2013 02:18:38]  <Lin_Chong> Meh.
[21-Apr-2013 02:18:49]  <Lin_Chong> I follow.
[21-Apr-2013 02:19:23]  *** BGT316|Amemiya is now known as TrooperAmemiya
[21-Apr-2013 02:19:40]  <TrooperAmemiya> (this should stop me from pinging myself)
[21-Apr-2013 02:19:46]  <CharlaGM> The command center is crowded, most of the rest of the company is gathered there. People are sitting where they can, the ship crew tinkering with the holographic ship controls. A massive video screen up front shows a 180-degree panorama of space, a sizable portion of it taken up by a blue gem of a planet  dead-center in the viewscreen, plus its 2 small moons.
[21-Apr-2013 02:19:49]  <BGTB2005> 14(success)
[21-Apr-2013 02:20:43]  <Lin_Chong> Is there a projector?
[21-Apr-2013 02:21:07]  <TrooperBlake> Nah, I bet it's all LCD.
[21-Apr-2013 02:21:16]  <CharlaGM> (It's more like a Titantron screen.)
[21-Apr-2013 02:21:26]  <CharlaGM> (So you're watching a video feed.)
[21-Apr-2013 02:21:32]  <CharlaGM> (Safer than installing windows. :V)
[21-Apr-2013 02:21:56]  <Alan_Walsh> (Hey, installing Windows is easy. Gentoo, now there's a challenge.)
[21-Apr-2013 02:22:28]  <CharlaGM> (...JBridge, I am going to hurt you.)
[21-Apr-2013 02:22:47]  <Alan_Walsh> (You're welcome.)
[21-Apr-2013 02:23:14]  <Lin_Chong> (I was going to make shadow-puppets)
[21-Apr-2013 02:23:29]  <CharlaGM> One particularly adorned man in the center of the CCC turns around to the gathered crowd and sweeps his gaze over it with grim impassiveness.
[21-Apr-2013 02:24:27]  <CharlaGM> It's CAPT Irmiah, the company leader. He once won an award for most bored-sounding man in the entire 3:16 Brigade.
[21-Apr-2013 02:25:02]  * TrooperBlake whispers "oh boy, looks like we're getting some more sleep."
[21-Apr-2013 02:25:03]  <Alan_Walsh> (Prestigious, I'm sure.)
[21-Apr-2013 02:25:22]  * Cpldrake has already fallen a sleep remembering the captain's award ceremony
[21-Apr-2013 02:26:36]  <Barcode> ((hee))
[21-Apr-2013 02:26:52]  <CharlaGM> In the most deadpan tone imaginable: "If this is everyone, I'll get started: I can tell everyone's getting antsy, so the brigade has decided to section us off to sweep Planet Seawolf. The good news is that it's got some of the best beaches in the sector. The bad news is that the local are highly territorial humanoid sharks with forehead-mounted pulse lasers."
[21-Apr-2013 02:27:16]  * TrooperBlake hisses "are you shitting me?"
[21-Apr-2013 02:27:17]  <Lin_Chong> ...really?
[21-Apr-2013 02:27:22]  * TrooperAmemiya mutters, "Joy"
[21-Apr-2013 02:27:24]  <Lin_Chong> Dear Lord.
[21-Apr-2013 02:27:35]  <CharlaGM> Further deadpan: "Yes. Really."
[21-Apr-2013 02:27:43]  <Alan_Walsh> Walsh stays silent, though the expression on his face says all it needs to.
[21-Apr-2013 02:27:44]  * TrooperBlake whispers "fuck fish. Seriously."
[21-Apr-2013 02:27:49]  <CharlaGM> CAPT Irmiah has seen so much shit he cannot give a fuck anymore.
[21-Apr-2013 02:27:54]  <Lin_Chong> It's good that I don't believe in a creator deity.
[21-Apr-2013 02:28:00]  <CharlaGM> This is a typical day for him.
[21-Apr-2013 02:28:21]  <Lin_Chong> If not, I would be having a crisis of conscience.
[21-Apr-2013 02:28:21]  <CharlaGM> CPL Chapeau: "I believe in him. A universe this perverse takes a sick mind to devise."
[21-Apr-2013 02:28:27]  <TrooperAmemiya> If such a god exists he's a total asshole
[21-Apr-2013 02:29:17]  <CharlaGM> (I blame Barcode entirely for this. He said I'd better be able to think of sufficiently-interesting foes after he read about a game involving dinosaur commandoes.)
[21-Apr-2013 02:29:35]  <Barcode> ((wh-b- ghm-))
[21-Apr-2013 02:29:43]  <TrooperBlake> (That just makes me think of Nanosaur for some reason.)
[21-Apr-2013 02:29:45]  <CharlaGM> (So what was my first thought? Sharkmen with frickin' laser beams on their heads.)
[21-Apr-2013 02:29:53]  <CharlaGM> (FUCK YEAH NANOSAUR.)
[21-Apr-2013 02:29:57]  <Alan_Walsh> (/me applauds)
[21-Apr-2013 02:30:07]  <Lin_Chong> (we need Super Dinosaur on this)
[21-Apr-2013 02:30:15]  <TrooperBlake> (I swear, I think that game had as much fog as Turok.)
[21-Apr-2013 02:30:27]  <Barcode> ((quick recap who's everyone, I know it's stones jbridge bgtb lin(?) and what, jackamckerel?))
[21-Apr-2013 02:30:28]  <TrooperAmemiya> (I wonder what their native god's/gods' name(s) is/are)
[21-Apr-2013 02:30:33]  <TrooperBlake> (Or maybe just odd draw distance)
[21-Apr-2013 02:30:34]  <Alan_Walsh> (KRYPTONITE FOG)
[21-Apr-2013 02:30:36]  <CharlaGM> (It was reverse-Turok, you were the dinosaur killing everything else.)
[21-Apr-2013 02:30:39]  <TrooperBlake> (I'm RocketDude, Barcode)
[21-Apr-2013 02:30:47]  <Alan_Walsh> Barcode: https://docs.google.com/spreadsheet/ccc?key=0ArNU5CMJkik6dHFOY2FraWdWT2Uyd0l0WE5oM2NPUkE#gid=0
[21-Apr-2013 02:30:47]  <Omnipresence> 14URL: [docs.google.com → accounts.google.com] Welcome to Google Docs
[21-Apr-2013 02:31:25]  <Barcode> (( https://dl.dropboxusercontent.com/u/8731765/Voice%20clips/MFB2.wav ))
[21-Apr-2013 02:31:26]  <Omnipresence> 14URL: [dl.dropboxusercontent.com] audio/x-wav document (47.1 kilobytes)
[21-Apr-2013 02:32:04]  <Barcode> (("specialization - calling for help" lol. anyway CARRY ON))
[21-Apr-2013 02:32:41]  <Alan_Walsh> ( CharlaGM: By the way, do you have the 2hu folder now?)
[21-Apr-2013 02:32:55]  <CharlaGM> "Usual standard procedure here: Seek and destroy. They're aggressive but not particularly motivated. Go make the beautiful beaches safe for Terra. Any questions?"
[21-Apr-2013 02:33:13]  <CharlaGM> (Not yet. Still busy. x_x I'll try and nab errything Tuesday.)
[21-Apr-2013 02:33:20]  <Lin_Chong> Sir, your lack of enthusiasm is inspiring.
[21-Apr-2013 02:33:21]  <Alan_Walsh> (Shore.)
[21-Apr-2013 02:33:45]  * TrooperBlake is tempted to ask "Yes, Captain, I have one: ARE YOU OUT OF YOUR FUCKING MIND?!"
[21-Apr-2013 02:33:47]  <Lin_Chong> I wish that I had the lack attachment that you had.
[21-Apr-2013 02:33:52]  <TrooperAmemiya> Are the sharkpeople edible?
[21-Apr-2013 02:33:57]  <Lin_Chong> The lack of attachment that you have.
[21-Apr-2013 02:34:31]  <Cpldrake> I have question
[21-Apr-2013 02:34:52]  <CharlaGM> "Yes, Trooper Amemiya, they're edible. I'm told they need more salt, though."
[21-Apr-2013 02:35:15]  <Cpldrake> Are we allowed to use postage to send bodies of shark-people to home? It would be a great day for Volg
[21-Apr-2013 02:36:17]  <Lin_Chong> The shark corpses are impermanent.
[21-Apr-2013 02:36:20]  <CharlaGM> CAPT Irmiah stares out past CPL Drake for a few seconds. This is not the sort of question he is routinely asked.
[21-Apr-2013 02:36:47]  * TrooperBlake slowly turns head towards CPL Drake
[21-Apr-2013 02:37:11]  <CharlaGM> "Yes, but there is a weight limit."
[21-Apr-2013 02:37:57]  <Cpldrake> "That good, only need to send enough for my cousin Drake's birthday, and another for my other cousin Drake's funeral"
[21-Apr-2013 02:38:40]  * TrooperAmemiya glances at CPL Drake
[21-Apr-2013 02:38:48]  * TrooperBlake stares in disbelief
[21-Apr-2013 02:39:09]  <Lin_Chong> Fuck fish, yes?
[21-Apr-2013 02:39:11]  <CharlaGM> CPL Chapeau: "Your family is brilliantly imaginative at naming their children."
[21-Apr-2013 02:39:44]  <TrooperBlake> Look who's talking, Chapeau.
[21-Apr-2013 02:39:51]  <Cpldrake> "Thank you Chapeau, most people just see that we are all named Drake and forget the sublities
[21-Apr-2013 02:40:09]  <Cpldrake> Since Cousin Drake is pronounced Drake, while my other Cousin is pronounced Drake
[21-Apr-2013 02:40:14]  <Cpldrake> big difference, you can hear, yes?
[21-Apr-2013 02:40:15]  <CharlaGM> "...Blake. Sorry."
[21-Apr-2013 02:40:32]  <TrooperBlake> Oh, now you're talking to me?
[21-Apr-2013 02:40:57]  <TrooperAmemiya> (IPA would be nice)
[21-Apr-2013 02:41:51]  <CharlaGM> CAPT Irmiah: "If there are no further concerns, get your gear checked and ready, report for tactical database assimilation in one hour, we drop at 1030 hours. Head 'em out."
[21-Apr-2013 02:42:41]  <Alan_Walsh> "Yessir."
[21-Apr-2013 02:42:55]  * TrooperBlake strolls off towards armory
[21-Apr-2013 02:44:58]  <CharlaGM> Quartermaster Briggs is busy opening the storage lockers for the company's Mandlebrite suits. "Don't go trick-r-treatin' without your costumes, kids!"
[21-Apr-2013 02:45:54]  <TrooperAmemiya> (I will now forever be disappointed if armour merchants in games don't say this line)
[21-Apr-2013 02:46:11]  * Alan_Walsh puts on his suit, satisfied with the customizations he's made to his armor.
[21-Apr-2013 02:46:35]  <Lin_Chong> Do we have any paint?
[21-Apr-2013 02:46:45]  * TrooperBlake dons armor as well, which happens to have a smiley face painted on it
[21-Apr-2013 02:46:51]  <TrooperAmemiya> I beleive we acquire that in the field
[21-Apr-2013 02:46:59]  <Cpldrake> hmm
[21-Apr-2013 02:47:15]  <Cpldrake> .decide go with pants|pants are not needed to see where we are going
[21-Apr-2013 02:47:27]  * TrooperAmemiya equips his armour
[21-Apr-2013 02:47:28]  <Cpldrake> (you fail me again
[21-Apr-2013 02:47:31]  <Alan_Walsh> ("Where we're going, we don't need pants.")
[21-Apr-2013 02:47:33]  <CharlaGM> "Yeah, we got paint. Why?"
[21-Apr-2013 02:47:44]  <Barcode> ((whot augh yew boyin'?))
[21-Apr-2013 02:47:51]  <Cpldrake> It looks like today I wear pants
[21-Apr-2013 02:47:56]  <Cpldrake> but tomorrow I will be sober
[21-Apr-2013 02:47:58]  <Lin_Chong> I want to write something on my armor plates.
[21-Apr-2013 02:47:58]  <CharlaGM> (Barcde: PFFFFT.)
[21-Apr-2013 02:48:19]  <CharlaGM> "Feh, sure. What color? Don't miss the drop just because you wanna do arts-n-crafts, though!"
[21-Apr-2013 02:48:42]  <Lin_Chong> (what color is the armor)
[21-Apr-2013 02:48:44]  * Cpldrake goes back to get his equipment, comes back with some scratchy looking armor covered in scorch marks
[21-Apr-2013 02:49:37]  <CharlaGM> (Plaster white, plating with black/brick red cables and shit in the seams and joints.)
[21-Apr-2013 02:49:45]  <Lin_Chong> Black.
[21-Apr-2013 02:50:31]  <CharlaGM> "Here ya go. Pray it don't wash off in the surf!"
[21-Apr-2013 02:51:55]  <Lin_Chong> Three lines on the back of the head. On the right arm is another three, but the first two have gaps in the middle.
[21-Apr-2013 02:52:38]  <Lin_Chong> On the right bracer the same, broken line-intact-line-broken line. 
[21-Apr-2013 02:53:36]  <CharlaGM> (Lin: Feel free to write that down on the Google doc)
[21-Apr-2013 02:53:53]  <CharlaGM> (Also I apologize if I am drawing out the briefing. My fault entirely.)
[21-Apr-2013 02:54:48]  <CharlaGM> LT Fendel is already in her armor, sidearm holstered, energy rifle slung across her back, and pointing a vicious-looking PowerClaw at those she deems insufficiently enthusiastic.
[21-Apr-2013 02:54:54]  <TrooperBlake> Can't forget the toys! *Walks over to weapons locker, picks up pump-action grenade launcher, admiring it.*
[21-Apr-2013 02:55:06]  <CharlaGM> "I DO NOT DETECT ENOUGH EAGERNESS FOR SHARK-KILLING HERE! PICK UP THE FUCKING PACE!"
[21-Apr-2013 02:56:34]  * Cpldrake takes out a gigantic cannon, on the side is written "Ralph"
[21-Apr-2013 02:56:40]  * TrooperAmemiya collects slug rifle, draws the charging handle fully rearwards, and checks the chamber
[21-Apr-2013 02:57:22]  * Alan_Walsh retrieves his flechette gun, making sure everything's in order.
[21-Apr-2013 02:57:29]  <Cpldrake> "I had pig named Ralph. He squealed a lot. I gutted him and used his body to keep brother warm. good memories
[21-Apr-2013 02:57:51]  * TrooperBlake checks to see if his grenade launcher is loaded. Scowling at the lack of grenades, he makes a note to load them before the drop and takes his sidearm with him.
[21-Apr-2013 02:58:16]  <TrooperBlake> Surprised he wasn't called Drake as well
[21-Apr-2013 02:58:22]  <CharlaGM> Quartermaster Briggs: "Ain't Halloween without candy! Ya'll git yer ammo!"
[21-Apr-2013 02:58:24]  <TrooperBlake> (*.)
[21-Apr-2013 02:58:27]  <Lin_Chong> I retrieve my pistol and rifle.
