[11-Sep-2011 22:38:12]  <Gendo> GET LEADY!  
[11-Sep-2011 22:50:04]  <Cassie> "As ready as Unit-14 will let me be"
[11-Sep-2011 22:50:15]  <Osip_Zhgun[Barcode]> "Waiting on you all."
[11-Sep-2011 22:50:26]  <Loki_Weyland> "I like these things. Feels like I'm wearing a space suit. In some sense, I guess I am."
[11-Sep-2011 22:50:33]  <Motoko> Yes, almost. I feel like I missed the entire morning, you know...?
[11-Sep-2011 22:50:46]  <Loki_Weyland> Not much happened.
[11-Sep-2011 22:50:47]  <JackMackerel> "You can scratch through 'em, too!"
[11-Sep-2011 22:51:16]  <Lou> Ready...
[11-Sep-2011 22:51:16]  <Loki_Weyland> Get up, eat breakfast, go to synch testing. It'll all probably become routine later on.
[11-Sep-2011 22:51:36]  <Gendo> Okay, moving on then!
[11-Sep-2011 22:51:37]  <Osip_Zhgun[Barcode]> "It shall."
[11-Sep-2011 22:51:44]  <JackMackerel> "Hurry up 'n wait."
[11-Sep-2011 22:51:46]  <Osip_Zhgun[Barcode]> [yes go ahead]
[11-Sep-2011 22:52:04]  <Loki_Weyland> Loki starts running toward his EVA, mostly out of impatience.
[11-Sep-2011 22:52:20]  <Gendo> So, you all go through the excruciating, and questionably necessary decontamination process again.
[11-Sep-2011 22:52:29]  <Cassie> "You are familiar with procedure zero pilot Jaqueline?" asks Cassie, feebly attempting to make a joke.
[11-Sep-2011 22:52:33]  <Loki_Weyland> $Oh, right. Forgot that bit.
[11-Sep-2011 22:52:57]  <Osip_Zhgun[Barcode]> [are the evas in a huge hangar then? and are we doing training today? if not I guess I'll just say I had to do some stomping around in the TRIDENT for the day. maintaining skills nad all]
[11-Sep-2011 22:52:58]  <Gendo> And yup, free range to your Evas now.
[11-Sep-2011 22:53:07]  <Osip_Zhgun[Barcode]> [wheeeeeeee]
[11-Sep-2011 22:53:09]  <JackMackerel> "No, what's that~?"
[11-Sep-2011 22:53:20]  <Cassie> "Hurry up and wait."
[11-Sep-2011 22:53:39]  <Loki_Weyland> "My favorite military saying."
[11-Sep-2011 22:53:52]  * Osip_Zhgun[Barcode] wordlessly walks to his TRIDENT and [do we climb ladders or. whatever, I get in whenever everyone else does :P]
[11-Sep-2011 22:53:58]  * Motoko tries to shake chemical feeling out of hair
[11-Sep-2011 22:54:32]  <Gendo> "Today, we've hooked the Eva's system into a computer simulation, so that you can familiarize yourselves with the feel of synching with an Eva and to get a realistic grasp of the Evangelion's motor functions"
[11-Sep-2011 22:54:33]  * Lou enters his Eva silently
[11-Sep-2011 22:54:40]  <Cassie> Cassie runs over to Unit-14 and scrambles in, waiting for instructions.
[11-Sep-2011 22:55:00]  <Motoko> Oh, I actually get a simulation...? That's a pleasant surprise...
[11-Sep-2011 22:55:03]  <Gendo> Osip_Zhgun[Barcode]: [Yeah, ladders are kind of necessary].
[11-Sep-2011 22:55:18]  <Osip_Zhgun[Barcode]> [hangar elevators!]
[11-Sep-2011 22:55:19]  <Loki_Weyland> Loki climbs into the eva.
[11-Sep-2011 22:55:22]  <JackMackerel> "Ah..."
[11-Sep-2011 22:55:29]  <Lou> [Ladders are the true power of mankind!]
[11-Sep-2011 22:55:51]  <Motoko> Weren't we on the verge of destruction or something? Or is that... is time dilation involved somehow?
[11-Sep-2011 22:55:55]  * JackMackerel clambers in, avoiding such outmoded things like "ladders" or "not remembering this isn't Assassin's Creed".
[11-Sep-2011 22:56:22]  <Lou> All the more reason to get you trained as soon as possible, right?
[11-Sep-2011 22:56:24]  * Osip_Zhgun[Barcode] begins attaching the various biometric feedback jacks into his suit. He staves off the preliminary startup checks as the machine is to be running in simulation mode.
[11-Sep-2011 22:56:25]  <Gendo> As soon as each of you enters your Eva, and gets seated, the Plugs seal off and fill with LCL.
[11-Sep-2011 22:56:43]  * Motoko 14is forced into Eva by the power of Gendo's narration!
[11-Sep-2011 22:57:00]  <Loki_Weyland> "I don't know if I'll ever get used to the taste of this stuff."
[11-Sep-2011 22:57:20]  * Osip_Zhgun[Barcode] activates the TRIDENT's cockpit computer and [if I've done this simulation thing before, begins entering the information needed to enter simulation mode.]
[11-Sep-2011 22:57:28]  <Cassie> "If you've ever bitten your tongue it's like that. Only everywhere."
[11-Sep-2011 22:57:33]  <JackMackerel> "It smells like... rape."
[11-Sep-2011 22:57:46]  <Motoko> 14Lou: Yeah, maybe, but it doesn't feel any more organized than last time...
[11-Sep-2011 22:57:46]  <Loki_Weyland> "That's a lovely image, Jackie."
[11-Sep-2011 22:57:50]  <Lou> ...
[11-Sep-2011 22:57:57]  <Cassie> "Rape has a smell now?"
[11-Sep-2011 22:58:02]  <Motoko> 14JackMackerel: You're supposed to be ROLE-PLAYING, idiot
[11-Sep-2011 22:58:25]  <JackMackerel> (But it's a direct quote!!! ;~;)
[11-Sep-2011 22:58:30]  <Loki_Weyland> .$ From what?
[11-Sep-2011 22:58:35]  <Lou> Command, can we start the simulation?
[11-Sep-2011 22:58:36]  <Loki_Weyland> $ Mari?
[11-Sep-2011 22:58:44]  <Loki_Weyland> "Yes, let's."
[11-Sep-2011 22:58:45]  <Motoko> 14/kick JackMackerel You're not very good at this!
[11-Sep-2011 22:58:54]  <Lou> [oh shit back in a minute!]
[11-Sep-2011 22:59:07]  <JackMackerel> (The EVA dub, Loki. When Asuka arrives, iirc.)
[11-Sep-2011 22:59:12]  <Loki_Weyland> $ Ah.
[11-Sep-2011 22:59:14]  <Gendo> "Right, Lou, the simulations are loading.  Give it a minute or so.."
[11-Sep-2011 22:59:20]  <Osip_Zhgun[Barcode]> [Apocryphal technobabble: The TRIDENT relies on a rather cumbersome hydrodynamic inertial dampener surrounding the outside of the cockpit pod as opposed to LCL within. Nonetheless the TRIDENT also requires a neurohelmet, which appears to be a bulky, metallic version of this thing: http://4.bp.blogspot.com/_0BoO175xieM/SFxciy8-vwI/AAAAAAAADa0/ms7eiutmnD8/s400/IMG_2659.JPG (except without the hammer and sickle ofc)
[11-Sep-2011 22:59:20]  <Omnipresence> 14URL: [4.bp.blogspot.com] JPEG image (324 × 400 pixels, 22.5 kilobytes)
[11-Sep-2011 22:59:45]  <Osip_Zhgun[Barcode]> [It contains enough padding to secure against the harsher jostles that may breach the limits of the hydrodynamic dampener.]
[11-Sep-2011 22:59:46]  * Motoko watches an incredible amount of indecipherable debugging information fly past on the consoles
[11-Sep-2011 23:00:01]  <Gendo> As Dr. Murai finishes his sentence, the Evnagelion's vision coms online, the plug blackening, as wireframe scenery begins to form.
[11-Sep-2011 23:00:13]  <Loki_Weyland> $ Little does Motoko know that it's just the manual for Photoshop.
[11-Sep-2011 23:00:37]  <Osip_Zhgun[Barcode]> Before Gendo's post at 4PDT, Osip types in the information necessary to connect to the hangar's simulation network.
[11-Sep-2011 23:00:38]  <Motoko> "Layer blending mask"...?
[11-Sep-2011 23:00:49]  <Cassie> "Is this the same VR system that they used in NERV Toronto Dr. Murai?"
[11-Sep-2011 23:00:50]  <Osip_Zhgun[Barcode]> [hand controls~]
[11-Sep-2011 23:00:52]  <Gendo> The wireframe eventually fleshes out, and becomes a fairly realistic rendering of Tokyo-3.
[11-Sep-2011 23:01:21]  <Lou> [back!]
[11-Sep-2011 23:01:25]  <JackMackerel> )wb.)
[11-Sep-2011 23:01:49]  <Gendo> "This system is built off of the VR system in Toronto, but is much more advanced"
[11-Sep-2011 23:01:51]  <Lou> [I don't know what about roleplaying makes my parents decide it's a good time for chickens]
[11-Sep-2011 23:01:58]  <Osip_Zhgun[Barcode]> [lol]
[11-Sep-2011 23:02:04]  * JackMackerel hmms and tries to jerk the controls to punch a nearby 3D building.
[11-Sep-2011 23:02:06]  <Loki_Weyland> $ Chickens?
[11-Sep-2011 23:02:23]  <Lou> [We raise some chickens.  We have to move the coop occasionally, because they scorchedearth the ground.]
[11-Sep-2011 23:02:27]  <Gendo> "The controls haven't been connected yet, Jacqueline.
[11-Sep-2011 23:02:28]  <Gendo> "
[11-Sep-2011 23:02:32]  * Motoko looks around the simulated rendering in some awe
[11-Sep-2011 23:02:57]  <Lou> [Btw, about your note, Loki_Weyland, I was thinking of having the symbol be a country flag or something, and having Lou be confused/uncomfortable about it]
[11-Sep-2011 23:02:57]  <Gendo> All of a sudden, the other Evangelions pop into existence.
[11-Sep-2011 23:03:03]  <Motoko> Oh, it's the 14[editors insert a landmark name here later]!
[11-Sep-2011 23:03:07]  <Loki_Weyland> $ That should work.
[11-Sep-2011 23:03:09]  <JackMackerel> "Aw, darn."
[11-Sep-2011 23:03:19]  <Gendo> Motoko: [Tokyo-3 tower[
[11-Sep-2011 23:03:20]  <Osip_Zhgun[Barcode]> [I'm in here, right?]
[11-Sep-2011 23:03:26]  <Gendo> Osip_Zhgun[Barcode]: Yes you are.
[11-Sep-2011 23:03:35]  <Loki_Weyland> $ This looks cool. Hey, think we could run Crysis on this thing?
[11-Sep-2011 23:03:39]  <Osip_Zhgun[Barcode]> [oh okay sorry. I'll be sure to note "evas" means "evas and T-RIDEN-T, for sake of quickness"]
[11-Sep-2011 23:03:41]  <Motoko> 14Gendo: There's actually a Tokyo-3 Tower? That's pretty unoriginal!
[11-Sep-2011 23:03:43]  <Osip_Zhgun[Barcode]> [Loki_Weyland not a chance]
[11-Sep-2011 23:03:44]  <Loki_Weyland> $Sorry, that was supposed to be dialog.
[11-Sep-2011 23:03:45]  <JackMackerel> ( Pfft. )
[11-Sep-2011 23:03:50]  <Lou> [Motoko: "Tokyo-3"]
[11-Sep-2011 23:03:58]  <Lou> [thatsthejoke.jpg]
[11-Sep-2011 23:04:00]  <Cassie> [So Unit-05 is the AMERICA FUCK YEAH EVA?]
[11-Sep-2011 23:04:08]  <Gendo> Yumi's voice comes over the channel "A-alright.  Controls have been connected."
[11-Sep-2011 23:04:39]  <Lou> "Ready."
[11-Sep-2011 23:04:44]  <Cassie> "Understood"
[11-Sep-2011 23:04:45]  * JackMackerel now tries punching a building.
[11-Sep-2011 23:04:47]  <Gendo> "First things first, try to take a step," Says Dr. Murai.
[11-Sep-2011 23:04:51]  <Motoko> 14Gendo: Wait, so, are the controls physical at all?
[11-Sep-2011 23:05:08]  * Osip_Zhgun[Barcode] blinks apathetically at the landscape. "In Russia, we did these tests in real-time." In the simulation, the T-RIDEN-T widens its stance and flexes its arms. "Ready."
[11-Sep-2011 23:05:09]  <Gendo> JackMackerel: Because LOL inexperienced in complex simulations, make an agility check :P
[11-Sep-2011 23:05:12]  <Lou> [There are trigger things.  It's pretty weird.]
[11-Sep-2011 23:05:18]  <Loki_Weyland> Loki taps his fingers on the controls.
[11-Sep-2011 23:05:34]  <Loki_Weyland> $ Woah, I just got around ten posts at once.
[11-Sep-2011 23:05:44]  <JackMackerel> !roll 1d32
[11-Sep-2011 23:05:44]  <GameServ> 22 == 22
[11-Sep-2011 23:05:45]  <Loki_Weyland> $ Don't be surprised if my connection derps out again.
[11-Sep-2011 23:05:47]  * Lou attempts a step.
[11-Sep-2011 23:05:48]  <Motoko> 14I thought, you know, LCL = neural interface medium, so maybe we're just floating in a simulation.
[11-Sep-2011 23:05:55]  <Gendo> Motoko: [My understanding is that there are physical controls, but those act as a rough guideline for what you want to do.  Most of the it is mental, hence, synch scores.]
[11-Sep-2011 23:06:13]  <Loki_Weyland> Loki starts to walk, cautiously.
[11-Sep-2011 23:06:21]  <Gendo> JackMackerel: You want a d100, and get lower than your Agility.
[11-Sep-2011 23:06:22]  <Motoko> 14Gendo: So the primary control mechanism is by mental motion?
[11-Sep-2011 23:06:26]  * Osip_Zhgun[Barcode] easily steps forward, and takes a few more to turn and face the Evas. His time on base and time at home have granted him the understanding that this lesson provides. [you cool with this?]
[11-Sep-2011 23:06:27]  <JackMackerel> (Alright.)
[11-Sep-2011 23:06:32]  <JackMackerel> !roll 1d100
[11-Sep-2011 23:06:32]  <GameServ> 88 == 88
[11-Sep-2011 23:06:36]  <Osip_Zhgun[Barcode]> [oh god lol]
[11-Sep-2011 23:06:42]  <Loki_Weyland> Gotta keep that Square Cube Law in mind.
[11-Sep-2011 23:06:46]  <JackMackerel> (:<)
[11-Sep-2011 23:06:49]  <Gendo> Oh, also, this is the first time you all have seen the TRIDENT.
[11-Sep-2011 23:07:03]  <Loki_Weyland> What's that thing?
[11-Sep-2011 23:07:06]  <Osip_Zhgun[Barcode]> [nobody saw me get into it. it was hiding behind the other evas, as it was half the height]
[11-Sep-2011 23:07:09]  <JackMackerel> "Hey. Why can't we have dinosaur mechs~?"
[11-Sep-2011 23:07:21]  <Cassie> Cassie takes a confident step. She's run this drill so many times in NERV Toronto, it's practically automatic.
[11-Sep-2011 23:07:22]  <Lou> [so did I step or what.  I should know what I"m doing, anyhow]
[11-Sep-2011 23:07:28]  <Loki_Weyland> Loki assumes the foreign mech is the target, and looks for how to bring up his weapon.
[11-Sep-2011 23:07:39]  <Gendo> JackMackerel: You attempt to punch the building, and fall facefirst.  Luckily feedback is disabled, but it still makes a very realistic looking dust cloud.
[11-Sep-2011 23:07:48]  <Gendo> Everyone who attempted a step makes it.
[11-Sep-2011 23:07:50]  <JackMackerel> "Goddammit..."
[11-Sep-2011 23:08:02]  <Lou> "I'm glad you're with is, Mr. Zhgun..."
[11-Sep-2011 23:08:03]  <Loki_Weyland> Nice try, Jackie.
[11-Sep-2011 23:08:05]  * JackMackerel gets up, and brushes herself off. Or tries to.
[11-Sep-2011 23:08:08]  * Motoko reaches to touch the nearest visible control panel, falls over in the Eva instead
[11-Sep-2011 23:08:11]  <JackMackerel> "SILENCE~!"
[11-Sep-2011 23:08:13]  <Loki_Weyland> Sadly, you are not Godzilla.
[11-Sep-2011 23:08:15]  <Gendo> Osip_Zhgun[Barcode]: [The TRIDENT is present in the simulation."
[11-Sep-2011 23:08:17]  * Lou glances at JacquerIforgethowtospellthis sadly
[11-Sep-2011 23:08:30]  <Loki_Weyland> Now wazzat thing over there?
[11-Sep-2011 23:08:40]  <Loki_Weyland> And how do I bring up my gun?
[11-Sep-2011 23:09:19]  <Gendo> An unknown male voice comes over the com:  "Loading weapons library now"
[11-Sep-2011 23:09:22]  <Lou> That's the tee riden tee.  It's a mechanical unit that will be assisting us, or fighting instead of us, if we can't get people trained...
[11-Sep-2011 23:09:36]  <Loki_Weyland> Ah.
[11-Sep-2011 23:09:38]  <Motoko> Wait, 14Yumi-chan, I haven't even touched anything yet and... how do I - no, wait a moment, I'm still on the ground! Hey!
[11-Sep-2011 23:09:40]  <Osip_Zhgun[Barcode]> "I can not help much with this exercise but I'm glad to be here too." Osip's TRIDENT stands still, sweeping the Evas with its chin-mounted gun while its eyes take turns tracking as Lou explains. [I was typing something out here]
[11-Sep-2011 23:09:40]  <Loki_Weyland> So, don't shoot at the Metal Gear.
[11-Sep-2011 23:10:20]  <JackMackerel> "Huh. Yeah, it looks like a REX. I hope it doesn't have to rely too much on that radar dome~"
[11-Sep-2011 23:10:22]  <Cassie> "Which scenario will we be running today?"
[11-Sep-2011 23:10:35]  <Lou> No, it's called a tee riden tee... or a "trident", if you really want...
[11-Sep-2011 23:10:48]  <Loki_Weyland> Yeah, I'll go with TRIDENT.
[11-Sep-2011 23:10:58]  <Gendo> Yumi:  "Motoko, just r-relax, and, um.... Really try to focus.  Your Eva should respond to your mental commands pretty well.  Think about taking a step, and it should do it".
[11-Sep-2011 23:11:02]  <JackMackerel> "You pronounce it Trident, I'm sure~"
[11-Sep-2011 23:11:05]  <Osip_Zhgun[Barcode]> Osip adapts the colloquialism. "But yes, this *is* the "Trident". Property of Russia, on loan to NERV as per UN's request."
[11-Sep-2011 23:11:08]  * Motoko 14is clearly the only one having trouble with this "piloting" thing
[11-Sep-2011 23:11:20]  * JackMackerel tries to take a step forward, hopes she doesn't have to roll agility again.
[11-Sep-2011 23:11:38]  <Osip_Zhgun[Barcode]> "Do not feel so bad that you will not get an opportunity to use it - you will find your Evas more than powerful enough."
[11-Sep-2011 23:11:58]  <Motoko> 14Gendo: Mental commands...? You don't mean...
[11-Sep-2011 23:12:05]  <JackMackerel> "I know. This thing fits me like a glove!"
[11-Sep-2011 23:12:09]  * Osip_Zhgun[Barcode] warms up a bit, practicing strafing and short hops.
[11-Sep-2011 23:12:19]  <Gendo> Dr. Murai:  "The Scenario today is nothing too bad.  More of a game, really."
[11-Sep-2011 23:12:23]  * Motoko attempts to stand up, does so rather shakily
[11-Sep-2011 23:12:23]  <Osip_Zhgun[Barcode]> [not using jumpjets unless the simulation grants me unlimited uses till the scenario starts]
[11-Sep-2011 23:12:25]  <JackMackerel> "I like games~"
[11-Sep-2011 23:12:29]  <Gendo> [Guys, slow down a bit o____o]
[11-Sep-2011 23:12:38]  <JackMackerel> (We should take turns talking...)
[11-Sep-2011 23:12:40]  <Cassie> "Do I at least get to kill something today?"
[11-Sep-2011 23:12:44]  <Motoko> 14I know, right? I'VE FALLEN DOWN AND I ALMOST CAN'T GET UP
[11-Sep-2011 23:12:45]  <Osip_Zhgun[Barcode]> [jsut trying to keep up with *them*!]
[11-Sep-2011 23:13:15]  <JackMackerel> "I'm with Cass with this~"
[11-Sep-2011 23:13:17]  <Gendo> Loki_Weyland: You notice that the weapons loaded aren't your standard Pallet Rifles.
[11-Sep-2011 23:13:18]  <JackMackerel> *on this
[11-Sep-2011 23:13:27]  <Loki_Weyland> Hm.
[11-Sep-2011 23:13:35]  <Gendo> They look like something from your childhood.
[11-Sep-2011 23:13:45]  <Osip_Zhgun[Barcode]> [everyone is holding baby's rattles]
[11-Sep-2011 23:13:46]  <Loki_Weyland> What is this thing?
[11-Sep-2011 23:13:49]  <Loki_Weyland> Wait...
[11-Sep-2011 23:13:49]  <Gendo> Namely, they are ridiculously oversized Laser Tag guns.
[11-Sep-2011 23:13:57]  <Loki_Weyland> ...
[11-Sep-2011 23:13:58]  <Osip_Zhgun[Barcode]> [guess I'm holding one too]
[11-Sep-2011 23:13:58]  <Lou> ...what are these?
[11-Sep-2011 23:14:03]  <Osip_Zhgun[Barcode]> [or is my chin gun now a laser tag gun]
[11-Sep-2011 23:14:06]  <Loki_Weyland> These looks stupid.
[11-Sep-2011 23:14:10]  <Cassie> "...Seriously?"
[11-Sep-2011 23:14:17]  <Motoko> Where did these guns come from?
[11-Sep-2011 23:14:27]  *** JackMackerel <~JustAnoth@c-67-169-29-77.hsd1.ca.comcast.net> has left #MadokaMadness
[11-Sep-2011 23:14:31]  <Osip_Zhgun[Barcode]> [goddamnit]
[11-Sep-2011 23:14:36]  <Gendo> Osip_Zhgun[Barcode]: Your simulated weapons have been altered, yes.
[11-Sep-2011 23:14:41]  *** JackMackerel <~JustAnoth@c-67-169-29-77.hsd1.ca.comcast.net> has joined #MadokaMadness
[11-Sep-2011 23:14:43]  <Loki_Weyland> $ Before you said they're laser tag guns, I was assuming it was based off our memories. I was going to have Loki's be an M41A Pulse Rifle.
[11-Sep-2011 23:14:47]  <Osip_Zhgun[Barcode]> [k. I just have the chin gun right now, and the armor plates on my back]
[11-Sep-2011 23:14:50]  <JackMackerel> (What the heck?)
[11-Sep-2011 23:14:55]  <Loki_Weyland> JackMackerel: (16:14:31) Osip_Zhgun[Barcode]: [goddamnit]
[11-Sep-2011 23:14:55]  <Loki_Weyland> (16:14:36) Gendo: Osip_Zhgun[Barcode]: Your simulated weapons have been altered, yes.
[11-Sep-2011 23:14:55]  <Loki_Weyland> (16:14:40) JackMackerel [~JustAnoth@c-67-169-29-77.hsd1.ca.comcast.net] entered the room.
[11-Sep-2011 23:15:05]  <JackMackerel> (Thanks)
[11-Sep-2011 23:15:16]  <JackMackerel> (Does AEJack have her knives?)
[11-Sep-2011 23:15:18]  <Loki_Weyland> $ OH, YOU'RE WELCOME.
[11-Sep-2011 23:15:22]  <Osip_Zhgun[Barcode]> [:}]
[11-Sep-2011 23:15:39]  <Gendo> The unknown male voice comes over the coms again "Unfortunately, we don't have enough data to thoroughly model an Angel's combat behaviour."
[11-Sep-2011 23:15:55]  <Loki_Weyland> So, what'll we be fighting?
[11-Sep-2011 23:15:59]  * Osip_Zhgun[Barcode] angles the chin gun up and to the side so it appears in his Trident's field of view. He raises an eyebrow at the chevron-marked laser, but otherwise does not react.
