[16-Sep-2011 05:14:19]  <Jaqueline_de_Maquerel> ((IC MODE ON))
[16-Sep-2011 05:20:54]  * Jaqueline_de_Maquerel turns and grins. "Oh, I'll teach you. Don't worry, I'll be gentle. You'll like it."
[16-Sep-2011 05:21:04]  <Loki_Weyland> "I'm sure."
[16-Sep-2011 05:21:07]  <Jaqueline_de_Maquerel> Here, let's start with a basic design!
[16-Sep-2011 05:21:13]  <Loki_Weyland> "OK."
[16-Sep-2011 05:21:51]  * Jaqueline_de_Maquerel takes two out. They're both extremely generic looking, and she does a variety of completely unnessecery tricks with them before holding both out, handle first, to Loki.
[16-Sep-2011 05:22:08]  <Loki_Weyland> Loki grabs one, uneasily.
[16-Sep-2011 05:23:23]  * Jaqueline_de_Maquerel grins.
[16-Sep-2011 05:24:02]  <Jaqueline_de_Maquerel> Okay, so here, listen closely...
[16-Sep-2011 05:24:28]  * Jaqueline_de_Maquerel violates personal space and points out alllllllllll the pieces of a butterfly knife, the mechanism, and slowly demonstrates a simple open/close.
[16-Sep-2011 05:24:42]  <Loki_Weyland> "Uh-huh."
[16-Sep-2011 05:24:47]  <Jaqueline_de_Maquerel> (I'd stretch that out, but I'm too lazy to do so, and I fear I'd fuck up a part.)
[16-Sep-2011 05:24:56]  <Loki_Weyland> $ I'll change it later.
[16-Sep-2011 05:24:59]  <Jaqueline_de_Maquerel> Here, try it. It's all in the wrist.
[16-Sep-2011 05:25:03]  <Loki_Weyland> $ We'll fix it in post!
[16-Sep-2011 05:25:08]  <Loki_Weyland> "OK."
[16-Sep-2011 05:25:10]  <Jaqueline_de_Maquerel> (Actually, if you want, we can retcon it and do the long explanation, should we?)
[16-Sep-2011 05:25:18]  <Loki_Weyland> $ Later.
[16-Sep-2011 05:25:29]  <Jaqueline_de_Maquerel> (( K. ))
[16-Sep-2011 05:25:38]  <Jaqueline_de_Maquerel> Slowly...
[16-Sep-2011 05:25:44]  <Loki_Weyland> Loki unlocks the handle and attempts a simple flip.
[16-Sep-2011 05:25:58]  <Loki_Weyland> He accidentally pokes himself with the blade.
[16-Sep-2011 05:26:02]  <Loki_Weyland> "Ow!"
[16-Sep-2011 05:26:43]  <Loki_Weyland> "OK, that didn't work. Let's try something else."
[16-Sep-2011 05:26:44]  <Jaqueline_de_Maquerel> ...
[16-Sep-2011 05:27:04]  * Jaqueline_de_Maquerel stares at the injury and seriously looks like she's about to lick it for a bit.
[16-Sep-2011 05:27:04]  <Loki_Weyland> Loki holds one handle, letting the knife go limp.
[16-Sep-2011 05:27:13]  <Loki_Weyland> He flicks it, trying to get it to close.
[16-Sep-2011 05:27:22]  <Jaqueline_de_Maquerel> Firmly grasp it...
[16-Sep-2011 05:27:24]  * Jaqueline_de_Maquerel grins.
[16-Sep-2011 05:27:31]  <Loki_Weyland> The knife flies out of his hand, landing on the floor.
[16-Sep-2011 05:27:36]  <Jaqueline_de_Maquerel> ...
[16-Sep-2011 05:27:42]  <Loki_Weyland> "Crap,"
[16-Sep-2011 05:27:56]  <Jaqueline_de_Maquerel> Don't worry, it's your first time~ I said I'd be gentle. Here...
[16-Sep-2011 05:28:04]  <Loki_Weyland> "Thanks."
[16-Sep-2011 05:28:10]  * Jaqueline_de_Maquerel takes the knife and places it in Loki's hand.
[16-Sep-2011 05:28:21]  * Jaqueline_de_Maquerel grabs his hand suddenly and goes through the motions. How does she do that, I don't know.
[16-Sep-2011 05:28:26]  <Tyrgardenz> [uh, glad I could help ._.]
[16-Sep-2011 05:28:51]  <Loki_Weyland> "Huh. Yeah, I think I get it."
[16-Sep-2011 05:29:02]  <Jaqueline_de_Maquerel> (( What? ))
[16-Sep-2011 05:29:14]  <Loki_Weyland> "Say, there's something I saw in a video I'd like to try."
[16-Sep-2011 05:29:28]  <Jaqueline_de_Maquerel> Oh~?
[16-Sep-2011 05:29:40]  <Jaqueline_de_Maquerel> You got it on hand? I didn't see a laptop~
[16-Sep-2011 05:29:54]  <Jaqueline_de_Maquerel> Here, lemme see you do it without my help first.
[16-Sep-2011 05:30:03]  <Loki_Weyland> $ Shush, I'm writing.
[16-Sep-2011 05:31:05]  <Loki_Weyland> Loki holds the knife limp again, flips it in the air, and catches it with his other hand. He then weaves the handles through his fingers before passing the blade back to his left hand. He then flips it some more, ending in a downward stabbing position.
[16-Sep-2011 05:31:09]  <Loki_Weyland> "...Cool!"
[16-Sep-2011 05:31:37]  * Jaqueline_de_Maquerel grins, nodding approvingly. "Yes, that's what I like to see. I thought you said you've never done this before~?"
[16-Sep-2011 05:31:41]  <Loki_Weyland> He attempts to repeat the maneuver. It flies out of his hand on the first flip.
[16-Sep-2011 05:31:51]  <Loki_Weyland> "Fuck."
[16-Sep-2011 05:33:27]  <Jaqueline_de_Maquerel> Hmm... close, but you used too much force. You'll get the hang of it.
[16-Sep-2011 05:33:36]  <Jaqueline_de_Maquerel> Looks like I'll have to teach you over and over again~
[16-Sep-2011 05:33:49]  <Loki_Weyland> "I wouldn't mind that."
[16-Sep-2011 05:34:02]  <Loki_Weyland> There is a slight grin on Loki's face.
[16-Sep-2011 05:34:42]  <Jaqueline_de_Maquerel> (( Loki has a rape fetish. ))
[16-Sep-2011 05:34:52]  <Tyrgardenz> [:/]
[16-Sep-2011 05:34:53]  <Loki_Weyland> $ Probably.
[16-Sep-2011 05:35:21]  <Loki_Weyland> $ If so, it's irrelevant.
[16-Sep-2011 05:35:46]  <Jaqueline_de_Maquerel> (( If Jack gets more unhinged and doesn't creep out on Cassie more... ))
[16-Sep-2011 05:36:11]  <Jaqueline_de_Maquerel> Here!
[16-Sep-2011 05:36:29]  * Jaqueline_de_Maquerel grabs Loki's arm, gets him to pick it back up, and goes through the motions slowly...
[16-Sep-2011 05:37:30]  <Loki_Weyland> Loki follows her lead.
[16-Sep-2011 05:37:51]  <Loki_Weyland> He seems ever so slightly on edge.
[16-Sep-2011 05:38:28]  <Jaqueline_de_Maquerel> Then we do it forcefully...
[16-Sep-2011 05:38:35]  <Loki_Weyland> "Eh?"
[16-Sep-2011 05:38:46]  * Jaqueline_de_Maquerel does it a biiiit too hard, and accidentally cuts them both.
[16-Sep-2011 05:38:47]  <Jaqueline_de_Maquerel> ...
[16-Sep-2011 05:38:55]  <Loki_Weyland> "Shit!"
[16-Sep-2011 05:39:07]  <Jaqueline_de_Maquerel> ...
[16-Sep-2011 05:39:15]  * Jaqueline_de_Maquerel licks up her blood. "Sorry..."
[16-Sep-2011 05:39:22]  * Jaqueline_de_Maquerel is giving off massive creeper vibes.
[16-Sep-2011 05:39:23]  <Loki_Weyland> "Eh, it's bound to happen."
[16-Sep-2011 05:39:33]  <Jaqueline_de_Maquerel> (( DON'T SLEEP, COME ON, GETCHER CREEP ON WITH ME ))
[16-Sep-2011 05:39:52]  <Loki_Weyland> $ Right. I'll try to put more innuendo into the dialogue.
[16-Sep-2011 05:42:47]  <Loki_Weyland> "It's OK."
[16-Sep-2011 05:43:05]  <Loki_Weyland> $ That replaces the previous line, I guess. Unless you can come up with something better.
[16-Sep-2011 05:43:08]  * Jaqueline_de_Maquerel wipes off Loki's wound and continues on. "Anyway... we should have you just keep practicing that flip~".
[16-Sep-2011 05:43:35]  <Loki_Weyland> "Yeah. It's hard at first, but I'm sure it'll be easier as I do it more."
[16-Sep-2011 05:43:56]  <Jaqueline_de_Maquerel> "It'll come naturally~."
[16-Sep-2011 05:44:50]  <Jaqueline_de_Maquerel> Keep it up... let's see~
[16-Sep-2011 05:44:51]  <Loki_Weyland> "In time, I'm sure."
[16-Sep-2011 05:46:27]  * Jaqueline_de_Maquerel goes on, watching Loki's attempts at flipping it open and closing.
[16-Sep-2011 05:47:20]  <Loki_Weyland> Loki's attempts to manipulate the knife are unsure, cautious.
[16-Sep-2011 05:48:00]  * Jaqueline_de_Maquerel grabs it again and does it a bit more forcefully.
[16-Sep-2011 05:49:29]  <Jaqueline_de_Maquerel> See, wasn't too hard~.
[16-Sep-2011 05:49:47]  * Jaqueline_de_Maquerel is waaay too close to Loki.
[16-Sep-2011 05:49:55]  <Jaqueline_de_Maquerel> Here, now...
[16-Sep-2011 05:50:09]  * Jaqueline_de_Maquerel does a highly complex trick that makes it look like she's about to stab Loki several times.
[16-Sep-2011 05:51:17]  <Loki_Weyland> "Cool..."
[16-Sep-2011 05:51:33]  <Tyrgardenz> [breathe heavily!]
[16-Sep-2011 05:52:10]  * Jaqueline_de_Maquerel leans back and sighs, as if exhausted. "Hard to do, for obvious reasons~"
[16-Sep-2011 05:52:14]  <Loki_Weyland> "OK, I think I've worked up the guts to try something."
[16-Sep-2011 05:52:31]  <Loki_Weyland> Loki tries a flip again, and the blade flies straight up into the air.
[16-Sep-2011 05:52:36]  <Loki_Weyland> "Oops."
[16-Sep-2011 05:52:58]  <Loki_Weyland> Loki catches the knife by the blade on the way down, realizing what he's done halfway through the motion.
[16-Sep-2011 05:53:31]  <Loki_Weyland> He hands it off to his other hand, does a trick, and tosses the device to Jacqueline.
[16-Sep-2011 05:53:37]  <Loki_Weyland> "Jackie! Here!" 
[16-Sep-2011 05:54:03]  <Loki_Weyland> $ This is taking place before the third session, by the way. Unless you object, that is.
[16-Sep-2011 05:54:17]  <Jaqueline_de_Maquerel> (It makes sense, not objections for me. )
[16-Sep-2011 05:54:24]  <Loki_Weyland> $ Great.
[16-Sep-2011 05:54:58]  * Jaqueline_de_Maquerel grabs it mid air and spins it repeatedly, making it seem like it's slinking all up and down her arm. "Here, catch it back~"
[16-Sep-2011 05:55:06]  <Loki_Weyland> "Thanks!"
[16-Sep-2011 05:55:32]  <Loki_Weyland> Loki pulls off several expert tricks, before handing it back to his partner.
[16-Sep-2011 05:56:21]  <Loki_Weyland> $ ...handing it off to his partner.
[16-Sep-2011 05:56:59]  <Loki_Weyland> $ In case it wasn't clear, Loki's done this before. He's just screwing with her.
[16-Sep-2011 05:57:25]  <Tyrgardenz> [in the text!  in the text!]
[16-Sep-2011 05:57:34]  <Jaqueline_de_Maquerel> (( You gave her a reacharound? ))
[16-Sep-2011 05:57:43]  <Loki_Weyland> $ Reacharound?
[16-Sep-2011 05:58:04]  <Tyrgardenz> [metaphors]
[16-Sep-2011 05:58:10]  <Loki_Weyland> $ And yeah, I'll find some what to either imply or outright state that Loki's flipped a butterfly knife before.
[16-Sep-2011 05:58:42]  <Loki_Weyland> $ I was hoping the expert tricks would give it away.
[16-Sep-2011 05:59:13]  <Jaqueline_de_Maquerel> Hey, I thought you said you were new at this...
[16-Sep-2011 05:59:24]  <Loki_Weyland> "I am, why?"
[16-Sep-2011 05:59:27]  <Jaqueline_de_Maquerel> (( Did you start novelizing Session Three, by the by? ))
[16-Sep-2011 05:59:40]  <Jaqueline_de_Maquerel> Because a newbie should have sliced open his palm with those tricks.
[16-Sep-2011 05:59:40]  <Loki_Weyland> $ I'm still working on the second.
[16-Sep-2011 05:59:51]  <Jaqueline_de_Maquerel> @g urban dictionary reacharound
[16-Sep-2011 05:59:51]  <Omnipresence> 14Jaqueline_de_Maquerel: Google: 14Urban Dictionary: reacharound14: The process of, while penetrating a partner from behind (Either anally or   vaginally), reaching around and playing with his/her... — http://www.urbandictionary.com/define.php?term=reacharound
[16-Sep-2011 05:59:52]  <Loki_Weyland> "I guess I'm a natural."
[16-Sep-2011 06:00:09]  <Loki_Weyland> $ Ah.
[16-Sep-2011 06:00:42]  <Loki_Weyland> $ Figured it was something like that.
[16-Sep-2011 06:01:34]  <Jaqueline_de_Maquerel> "Bullcrap, naturals would make more mistakes with that. Plus, you strike me as a guy who'd shoot from afar."
[16-Sep-2011 06:03:26]  <Loki_Weyland> $ Shoot from afar?
[16-Sep-2011 06:04:29]  <Jaqueline_de_Maquerel> (( Uses guns.... I tried to get a sexual metaphor, but blargh. ))
[16-Sep-2011 06:04:30]  <Loki_Weyland> Loki is maintaining a straight face, but just barely.
[16-Sep-2011 06:04:32]  <Loki_Weyland> $ Ah.
[16-Sep-2011 06:05:08]  <Loki_Weyland> "Nah. I prefer to get up close and personal. When the situation calls for it, of course."
[16-Sep-2011 06:05:29]  <Loki_Weyland> "Hell, I custom-ordered a progressive naginata for my Eva."
[16-Sep-2011 06:06:19]  <Jaqueline_de_Maquerel> Ooh, nice.
[16-Sep-2011 06:06:28]  <Jaqueline_de_Maquerel> All I get are those crappy box cutters...
[16-Sep-2011 06:06:33]  <Loki_Weyland> "You can try it if you want, just don't break it."
[16-Sep-2011 06:06:50]  <Jaqueline_de_Maquerel> (( I should harass Solstace into giving Jack a better blade. :V ))
[16-Sep-2011 06:06:54]  <Loki_Weyland> "And from what I've read, the prog knives are supposed to be really good."
[16-Sep-2011 06:07:00]  <Loki_Weyland> $ Spend a WUP on it, then.
[16-Sep-2011 06:07:10]  <Loki_Weyland> $ What'd you spend your 200 XP on, anyway?
[16-Sep-2011 06:07:22]  <Jaqueline_de_Maquerel> Now, now. What good is a blade if you don't test it? A good blade needs to be unbreakable.
[16-Sep-2011 06:07:30]  <Jaqueline_de_Maquerel> (( WUP. Told him to upgrade damage. ))
[16-Sep-2011 06:07:38]  <Loki_Weyland> $ Ah.
[16-Sep-2011 06:07:57]  <Jaqueline_de_Maquerel> (( I don't think he did, so I'll tell hiss ass next time he does. ))
[16-Sep-2011 06:08:16]  <Loki_Weyland> $ Heh.
[16-Sep-2011 06:08:35]  <Jaqueline_de_Maquerel> (( Ugh, keyboard, stop doubling my letters. You're not a Homosuck troll. ))
[16-Sep-2011 06:08:51]  <Loki_Weyland> $ Homosuck?
[16-Sep-2011 06:08:58]  <Jaqueline_de_Maquerel> (( Homestuck. ))
[16-Sep-2011 06:09:15]  <Tyrgardenz> [typiing quiirk2]
[16-Sep-2011 06:09:40]  * Jaqueline_de_Maquerel shrugs. "They should be a bit more flashy than just glorified box cutters, even if that vibration thing is really useful. ))
[16-Sep-2011 06:10:10]  <Loki_Weyland> "Can they afford to?"
[16-Sep-2011 06:10:59]  <Loki_Weyland> $ Hm. Might want to change that line.
[16-Sep-2011 06:12:22]  *** JackMackerel <~JustAnoth@75-51-144-130.lightspeed.sntcca.sbcglobal.net> has joined #MadokaMadness
[16-Sep-2011 06:12:34]  * JackMackerel kicks Jaqueline_de_Maquerel.
[16-Sep-2011 06:12:54]  <Loki_Weyland> $ Idea for the end of this segment: Loki and Jackie are knife-flipping together, or just doing something that looks suggestive. Lou walks in, stares for a second, and walks back out.
[16-Sep-2011 06:13:07]  <JackMackerel> (( lol. ))
[16-Sep-2011 06:13:15]  *** Jaqueline_de_Maquerel <~JustAnoth@75-51-144-130.lightspeed.sntcca.sbcglobal.net> has quit IRC (Ping timeout: 204 seconds)
[16-Sep-2011 06:13:40]  <JackMackerel> (( I'm reminded of that scene in Wild Wild West. ))
[16-Sep-2011 06:13:42]  <Loki_Weyland> "I don't know. There's a certain elegance in simplicity."
[16-Sep-2011 06:13:54]  <Tyrgardenz> [I'm down]
[16-Sep-2011 06:13:56]  *** JackMackerel is now known as Jaqueline_de_Macquerel
[16-Sep-2011 06:14:11]  <Loki_Weyland> "Hell, look at the naginata. All it is is a blade on a long shaft."
[16-Sep-2011 06:14:13]  <Jaqueline_de_Macquerel> (Wait, why would Lou walk in.)
[16-Sep-2011 06:14:23]  <Loki_Weyland> $ He and Loki share a room, remember?
[16-Sep-2011 06:14:31]  <Jaqueline_de_Macquerel> (( o rite. ))
[16-Sep-2011 06:14:35]  <Tyrgardenz> [I didn't!]
[16-Sep-2011 06:15:14]  <Jaqueline_de_Macquerel> Yeah, but it looks prettier. Cuts better, too.
[16-Sep-2011 06:15:30]  <Jaqueline_de_Macquerel> (( Actually, retcon that. ))
[16-Sep-2011 06:15:38]  <Loki_Weyland> $ Done.
[16-Sep-2011 06:15:58]  <Jaqueline_de_Macquerel> (( I herped and thought Naginata were wakizakis or whatever. @_@)
[16-Sep-2011 06:16:05]  <Loki_Weyland> $ Heh.
[16-Sep-2011 06:16:21]  <Loki_Weyland> $ Wakizashi.
[16-Sep-2011 06:18:00]  * Jaqueline_de_Macquerel nods. "Still, you could improve the design. Make the blade longer, sharper, the handle a bit better..."
[16-Sep-2011 06:18:34]  <Loki_Weyland> "Tell it to the R&D team, not me."
[16-Sep-2011 06:18:52]  <Jaqueline_de_Macquerel> Eh, I'll bribe 'em... somehow.
[16-Sep-2011 06:19:24]  <Loki_Weyland> "I'd help, but I spent all my cash bribing my way up the Marduk Report."
[16-Sep-2011 06:20:05]  <Loki_Weyland> $ Oh, badass. I just got accepted into a pre-alpha. I can put this on my resume!
[16-Sep-2011 06:20:20]  <Jaqueline_de_Macquerel> (( For, or are you under NDA? ))
[16-Sep-2011 06:20:46]  <Loki_Weyland> $ I have to read the NDA first.
[16-Sep-2011 06:22:39]  <Jaqueline_de_Macquerel> I have no cash... wonder if I should crack open my parent's bank accounts, though.
[16-Sep-2011 06:22:50]  * Jaqueline_de_Macquerel hurls two Benchmades into the training dum.
[16-Sep-2011 06:22:53]  <Jaqueline_de_Macquerel> *mmy
[16-Sep-2011 06:27:04]  <Loki_Weyland> $ Benchmades?
[16-Sep-2011 06:27:12]  <Loki_Weyland> $ A brand of knife, I assume.
[16-Sep-2011 06:27:18]  <Jaqueline_de_Macquerel> (( It's a company. Yeah, they make knives. ))
[16-Sep-2011 06:27:27]  <Jaqueline_de_Macquerel> (( They're held in pretty high regard. ))
[16-Sep-2011 06:27:33]  <Loki_Weyland> $ Cool.
[16-Sep-2011 06:28:01]  <Loki_Weyland> "I wish I could crack open my dad's bank account. But alas, I won't have access to the company coffers for a few decades."
[16-Sep-2011 06:28:28]  <Jaqueline_de_Macquerel> "Really? Can't NERV apply a little force, a little pressure?"
[16-Sep-2011 06:29:05]  <Loki_Weyland> "He's in a position of power, not NERV. Weyland Industries is one of their bigger funders, after all."
[16-Sep-2011 06:29:11]  <Loki_Weyland> "Yeah, he's a billionaire. He got that way by being frugal with his money. so he expects me to do the same."
[16-Sep-2011 06:29:26]  <Loki_Weyland> $ Note: That goes before Jackie's line.
[16-Sep-2011 06:29:32]  <Jaqueline_de_Macquerel> (k)
[16-Sep-2011 06:29:34]  <Loki_Weyland> $ The second line, that is.
[16-Sep-2011 06:30:46]  <Loki_Weyland> "So yeah. My dad's a ruthless billionaire and my mom died before I was five. Not much of a family."
[16-Sep-2011 06:30:50]  <Loki_Weyland> "What about you?
[16-Sep-2011 06:31:52]  <Jaqueline_de_Macquerel> ...
[16-Sep-2011 06:32:26]  <Loki_Weyland> "You'd rather not say?"
[16-Sep-2011 06:32:29]  * Jaqueline_de_Macquerel drops her creepy-ass demeanor and grows serious. "Both of them dead. Saw them get crushed right in front of me during second impact."
[16-Sep-2011 06:32:52]  <Loki_Weyland> Loki's face loses its perpetual grin. "Ah."
[16-Sep-2011 06:33:25]  <Jaqueline_de_Macquerel> (( Wait, they both grin a lot? ))
[16-Sep-2011 06:33:34]  <Loki_Weyland> $ Yep.
[16-Sep-2011 06:33:37]  <Jaqueline_de_Macquerel> (( I'm imagining him as Cockmongler now. ))
[16-Sep-2011 06:33:46]  <Jaqueline_de_Macquerel> (( I always imagined him smirking... ))
[16-Sep-2011 06:33:49]  <Loki_Weyland> $ I LOL'd pretty hard just now.
[16-Sep-2011 06:33:58]  <Loki_Weyland> $ Yeah, I think it's more of a smirk.
[16-Sep-2011 06:34:03]  *** AlkyHairDye <Mibbit@ip68-110-14-126.tc.ph.cox.net> has joined #MadokaMadness
[16-Sep-2011 06:34:08]  <AlkyHairDye> Here?
[16-Sep-2011 06:34:31]  <Tyrgardenz> [here there is shipping]
[16-Sep-2011 06:34:33]  <Jaqueline_de_Macquerel> (( Yeah, since we're already here, anyway. You may have to wait for a bit, though. ))
[16-Sep-2011 06:34:44]  <Jaqueline_de_Macquerel> (( Love triangle between Cassie, Jack, and Loki! ))
[16-Sep-2011 06:34:49]  <Tyrgardenz> [aw yeah]
[16-Sep-2011 06:34:52]  <Jaqueline_de_Macquerel> (( Or maybe Jack is their pimp. ))
[16-Sep-2011 06:34:53]  <Loki_Weyland> $ Just then, Cassie walks in, stares for a second, and walks out, embarrassed.
[16-Sep-2011 06:35:05]  <Loki_Weyland> $ Threesome?
[16-Sep-2011 06:35:07]  <AlkyHairDye> Lets make the Freudian and assign Ego, Superego and Id roles.
[16-Sep-2011 06:35:25]  <Loki_Weyland> $ Loki, Cassie, Jackie.
[16-Sep-2011 06:35:36]  <AlkyHairDye> ...of course Loki will be the boy ego caught between the female Id and Superego
[16-Sep-2011 06:35:36]  <Loki_Weyland> $ The superego's the mediator, right?
[16-Sep-2011 06:35:44]  <Jaqueline_de_Macquerel> (( Loki is Asuka, Cass is Shinji, and Jack is rapist Mari.
[16-Sep-2011 06:35:46]  <AlkyHairDye> OR rule oriented one.
[16-Sep-2011 06:35:50]  <Tyrgardenz> [no, the superego is the anal-retentive bastard]
[16-Sep-2011 06:35:54]  <Loki_Weyland> $ Ah.
[16-Sep-2011 06:37:29]  * Jaqueline_de_Macquerel suddenly cheers up. "Eh, it's in the past, now. Couldn't do a thing with my stubby girl arms~"
[16-Sep-2011 06:38:40]  <AlkyHairDye> [Where are we?]
[16-Sep-2011 06:39:32]  <Tyrgardenz> [They're in Loki's room.  Cassie is wherever else.]
[16-Sep-2011 06:39:54]  <Tyrgardenz> [Loki's room before the angel fight, chatting after throwing knives around, more specifically]
[16-Sep-2011 06:40:15]  <Jaqueline_de_Macquerel> (( 'Saw them get crushed right in front of me during second impact' sounds way too awkward and scripted, but, hey... ))
[16-Sep-2011 06:40:39]  <Loki_Weyland> "Yeah. You shouldn't dwell on the past. Instead, look at what you've done wrong and think about how you can improve yourself instead."
[16-Sep-2011 06:41:14]  <AlkyHairDye> [Does Jaqueline have a lot of stuff to be unpacked? Cassie might be busying herself with that]
[16-Sep-2011 06:43:29]  <Jaqueline_de_Macquerel> You sound like a self-help manual.
[16-Sep-2011 06:43:31]  <Jaqueline_de_Macquerel> (Sorry.)
[16-Sep-2011 06:43:44]  <Tyrgardenz> [son of a submariner]
[16-Sep-2011 06:43:53]  <Jaqueline_de_Macquerel> ( lul )
[16-Sep-2011 06:45:37]  <Loki_Weyland> "It's good advice."
[16-Sep-2011 06:46:29]  <AlkyHairDye> [Just tell me when you want to have Cassie interact with them]
[16-Sep-2011 06:47:02]  <Jaqueline_de_Macquerel> ( Should be soon, but I gotta shower soon. >.> ))
[16-Sep-2011 06:47:22]  * Jaqueline_de_Macquerel nods. "Still sounds kinda sappy, ya know?" She sends more knives into the training dummy.
[16-Sep-2011 06:47:45]  <Jaqueline_de_Macquerel> I wish they'd make prog knives throwable... I could have a whole set of 'em to throw. It'd be easier to pierce AT fields that way, wouldn't it?
[16-Sep-2011 06:47:59]  <Jaqueline_de_Macquerel> (( Yes, I know, that's now how AT neutralization works. ))
[16-Sep-2011 06:48:34]  <Tyrgardenz> [right, I suppose Lou would walk in and smile a bit and say "Right."  Bye now]
[16-Sep-2011 06:48:36]  *** Tyrgardenz <~Glossina@71-38-158-183.ptld.qwest.net> has quit IRC (Quit: Leaving.)
[16-Sep-2011 06:49:15]  <Jaqueline_de_Macquerel> (( Hold on. ))
[16-Sep-2011 06:49:41]  * Jaqueline_de_Macquerel holds out a bigger butterfly knife to Loki... at waist height. "Here, feel the weight."
[16-Sep-2011 06:49:45]  <Loki_Weyland> "Well, it's worked for me in the past."
[16-Sep-2011 06:49:49]  <Jaqueline_de_Macquerel> <Lou walks in, stares, and walks out.>
[16-Sep-2011 06:50:24]  <Loki_Weyland> "...Should we explain this to him later?"
[16-Sep-2011 06:50:30]  <Loki_Weyland> "...Nah."
[16-Sep-2011 06:51:03]  <Jaqueline_de_Macquerel> Not at all. <Smirks.>
[16-Sep-2011 06:51:55]  <Loki_Weyland> "I've had a lot of hobbies over the years, but trolling has to be my favorite."
[16-Sep-2011 06:52:50]  <Jaqueline_de_Macquerel> I suggest you don't try it with me~
[16-Sep-2011 06:53:33]  <Loki_Weyland> "How do you know I haven't already?"
[16-Sep-2011 06:53:46]  <Loki_Weyland> $ "...already~?"
[16-Sep-2011 06:54:08]  *** AlkyHairDye is now known as Rinsing
[16-Sep-2011 06:54:35]  <Jaqueline_de_Macquerel> Because I'd know, and you'd have sixteen inches of cold steel in ya.
[16-Sep-2011 06:54:39]  * Jaqueline_de_Macquerel grins.
[16-Sep-2011 06:54:44]  <Loki_Weyland> Loki grins.
[16-Sep-2011 06:58:36]  <Jaqueline_de_Macquerel> ( Should we drag Cassie in here now? When Taiga gets back. )
[16-Sep-2011 06:59:18]  <Loki_Weyland> $ I dunno. We already had Lou make a cameo, and I think that's enough. Besides, I can't see Cassie intruding without knocking, or a good reason.
[16-Sep-2011 07:00:04]  <Jaqueline_de_Macquerel> (( Oh, she wanted to RP the scene where Loki and Jackie drag her out for a night in the city, as promised. ))
[16-Sep-2011 07:00:09]  <Jaqueline_de_Macquerel> (( *he
[16-Sep-2011 07:00:12]  <Loki_Weyland> $ Ah.
[16-Sep-2011 07:00:26]  <Loki_Weyland> $ That'll be fun. That said, I think we'll do that one later.
[16-Sep-2011 07:00:58]  <Loki_Weyland> $ I plan on having an aftermath for each chapter, if we have on ready.
[16-Sep-2011 07:01:12]  <Loki_Weyland> $ More could be done, I guess.
