[27-Jan-2013 20:12:43]  <IllFlower> and we're off.
[27-Jan-2013 20:23:25]  <Miaka_Watanabe[Barcode]> ((nice))
[27-Jan-2013 20:23:28]  <Yuna> ((buttercup is a genius))
[27-Jan-2013 20:23:32]  <Yuna> ((but we already knew that))
[27-Jan-2013 20:23:37]  <Sumire> 14Yui is the only one who is actually thinking right now
[27-Jan-2013 20:23:39]  <IllFlower> all the rest of you, dismal. just dismal!
[27-Jan-2013 20:24:08]  <Miaka_Watanabe[Barcode]> ((as far as the plot is concerned, miaka wouldn't be aware of anything short of a mine going off beside her.
[27-Jan-2013 20:24:09]  <Miaka_Watanabe[Barcode]> ))
[27-Jan-2013 20:24:31]  <IllFlower> Yui suddenly feels a sensation of... well, it's hard to explain. magnetism? like something's pulling her somewhere...
[27-Jan-2013 20:24:34]  <Sumire> 14the nuclear bom went off like a bom
[27-Jan-2013 20:25:17]  <Sumire> 14fucking magical magnets, how do they work
[27-Jan-2013 20:26:16]  <Miaka_Watanabe[Barcode]> ((calm like a bom!))
[27-Jan-2013 20:26:56]  <Yui> Well, um, guys I think we should head this way, I've got this strange feeling and well, gut feelings haven't let me down yet.
[27-Jan-2013 20:27:14]  <Sumire> "I don't think anyone else has a better idea, so let's follow Yui!"
[27-Jan-2013 20:27:26]  * Miaka_Watanabe[Barcode] shrugs, follows. Looking a bit lost in thought.
[27-Jan-2013 20:27:44]  <Yui> ((follow Yui is the worst plan. She will lead you to your doom))
[27-Jan-2013 20:27:57]  <Yuna> "Okay Yui, following you sounds good!"
[27-Jan-2013 20:28:01]  <Miaka_Watanabe[Barcode]> ((lol))
[27-Jan-2013 20:28:03]  * Yuna tags along closely
[27-Jan-2013 20:28:23]  <IllFlower> Yui heads out of the park, somewhere towards the river that runs through the suburbs, and the other girls follow suit, lacking for any other idea of how to find Kei.
[27-Jan-2013 20:29:30]  <IllFlower> she stops at a pedestrian overpass over an intersection a few blocks away. traffic lights blink slowly over the empty roads.
[27-Jan-2013 20:29:42]  <IllFlower> everyone but Yui, roll another Sh challenge...
[27-Jan-2013 20:29:52]  <Miaka_Watanabe[Barcode]> +roll 2d6+6
[27-Jan-2013 20:29:52]  <rollermine> Miaka_Watanabe[Barcode]: (2+6)+6=14
[27-Jan-2013 20:29:53]  <Sumire> +roll 2d6+6
[27-Jan-2013 20:29:53]  <rollermine> Sumire: (2+2)+6=10
[27-Jan-2013 20:29:53]  <Yui> ((if you guys fail so help me))
[27-Jan-2013 20:29:54]  <Yuna> ((illflower you absolutely love the "traffic lights and empty roads" images don't you))
[27-Jan-2013 20:30:06]  <Yuna> +roll 2d6+6  
[27-Jan-2013 20:30:06]  <rollermine> Yuna: (5+4)+6=15
[27-Jan-2013 20:30:13]  <Miaka_Watanabe[Barcode]> ((dammit!))
[27-Jan-2013 20:30:19]  <Sumire> 14sumire must be thinking about something other than kei
[27-Jan-2013 20:30:53]  <IllFlower> Miaka and Yuna start feeling compelled in a certain direction as well, and they mention as much to Yui and Sumire.
[27-Jan-2013 20:31:11]  <Miaka_Watanabe[Barcode]> ((same one?))
[27-Jan-2013 20:31:19]  <Yui> ((LET'S FOLLOW OUR MAGICAL GUTS INTO OBLIVION))
[27-Jan-2013 20:31:32]  <Miaka_Watanabe[Barcode]> "Hhhey....uh...I don't know how to explain this, but I've got this feeling we reeeally should be going this way."
[27-Jan-2013 20:31:36]  <Sumire> 14Sumire is so going to get ambushed. ;_;
[27-Jan-2013 20:31:46]  <Yuna> ((bonus points if we felt like going different ways))
[27-Jan-2013 20:32:09]  <IllFlower> Yui asks the two of them where the sensation is coming from. Yuna points down the road. Miaka points in the same... general direction, but off into the trees by the roadside a bit...
[27-Jan-2013 20:32:26]  <Miaka_Watanabe[Barcode]> ((looks like miaka wants to have a Roadside Picnic! a a aaa))
[27-Jan-2013 20:32:38]  <Yuna> ((*slaps barcode*))
[27-Jan-2013 20:32:45]  <IllFlower> Yui gives Miaka an odd look, something like "are you sure...?" **
[27-Jan-2013 20:32:46]  <Miaka_Watanabe[Barcode]> (( >u<
[27-Jan-2013 20:32:47]  <Miaka_Watanabe[Barcode]> ))
[27-Jan-2013 20:32:58]  <Yuna> ((and yes I get the reference XD))
[27-Jan-2013 20:33:13]  <Yuna> ((oh god, now I'm imagining a magical girls/roadside picnic corssover))
[27-Jan-2013 20:33:18]  * Miaka_Watanabe[Barcode] shrugs in a way that somehow communicates "yes but I don't know why."
[27-Jan-2013 20:33:26]  <Yuna> ((where witches and stuff are bizarre alien technology))
[27-Jan-2013 20:33:54]  <Miaka_Watanabe[Barcode]> ((red alert 3 had the neo-imperial army have magical girls, but it...wasn't exactly a serious game))
[27-Jan-2013 20:34:06]  <Yuna> what, it did? XD
[27-Jan-2013 20:34:16]  <Nitya> 14yeah, that game is silly as hell everything-wise
[27-Jan-2013 20:34:20]  <Nitya> 14superpsychic whatevers
[27-Jan-2013 20:34:23]  <Miaka_Watanabe[Barcode]> ((yeah. the expansion pack even has a whole campaign where you play as one and it's apparently more serious and stuff))
[27-Jan-2013 20:34:23]  <Sumire> 14yeah, the super unit for Japan was a psychic magical girl
[27-Jan-2013 20:34:30]  <Yui> ((some day Miaka will be the sharpest tool in the shed))
[27-Jan-2013 20:34:32]  <Sumire> 14also they were lead by George Takei
[27-Jan-2013 20:34:39]  <IllFlower> either way, the girls set off down the road where Yui and Yuna feel drawn.
[27-Jan-2013 20:35:05]  <SpruceZeus> ((i might actually have to play that game eventually, if only for George Takei...))
[27-Jan-2013 20:35:14]  <IllFlower> after some distance, it curves around the stand of trees to the side where Miaka pointed, eventually arriving at another intersection.
[27-Jan-2013 20:35:16]  <Miaka_Watanabe[Barcode]> ((yui: :( ))
[27-Jan-2013 20:35:24]  <Sumire> 14it also has Tim Curry and the guy who played Cave Johnson whose name I can't remember
[27-Jan-2013 20:35:45]  <SpruceZeus> ((omfg))
[27-Jan-2013 20:35:48]  <Miaka_Watanabe[Barcode]> ((spruce - generally worth you time, as far as camp goes))
[27-Jan-2013 20:35:59]  <IllFlower> it looks like, in a way, Miaka was right. she just had as-the-crow-flies directions...
[27-Jan-2013 20:36:31]  <Sumire> "Do you guys feel Kei anywhere?  I still don't know what you guys are talking about..."
[27-Jan-2013 20:36:51]  <Miaka_Watanabe[Barcode]> ((starz))
[27-Jan-2013 20:37:07]  <IllFlower> anyway, this crossing's at just about the absolute edge of town, and aside from a very-much closed gas station and a what looks to be an abandoned auto repair garage across from it, there's nothing here.
[27-Jan-2013 20:37:58]  <IllFlower> the sensation that someone's here changes from a strong pull of "in this direction" to "... somewhere within sight of here..." **
[27-Jan-2013 20:38:15]  <Sumire> 14sharp check?
[27-Jan-2013 20:38:20]  <IllFlower> no, none.
[27-Jan-2013 20:38:21]  * Yui reaches for Yuna's hand, slightly creepy is less so with familiarity involved. 
[27-Jan-2013 20:38:53]  * Yuna holds Yui's hand tightly, somewhere in between clinging out of her own fear and holding it to comfort Yui
[27-Jan-2013 20:39:14]  * Miaka_Watanabe[Barcode] looks around. "Well. It certainly /looks/ the part of a hideout..."
[27-Jan-2013 20:39:33]  <Miaka_Watanabe[Barcode]> ((should we transform and roll out))
[27-Jan-2013 20:39:33]  <Sumire> 14brb bathroom
[27-Jan-2013 20:39:44]  <IllFlower> Miaka_Watanabe[Barcode]: up to you guys.
[27-Jan-2013 20:39:52]  <Yui> ((he didn't step on me or fall over the wheelchair!))
[27-Jan-2013 20:39:57]  <Miaka_Watanabe[Barcode]> ((lol))
[27-Jan-2013 20:40:36]  <Miaka_Watanabe[Barcode]> "Iunno about you guys, but this place is plenty dangerous-looking even without a magical girl..." Miaka puts her right hand to her chest and transforms.
[27-Jan-2013 20:41:11]  <Yui> Yui nods, and likewise transforms.
[27-Jan-2013 20:41:20]  <Sumire> 14back
[27-Jan-2013 20:41:22]  <Yui> better to do it before we're neck deep
[27-Jan-2013 20:41:30]  <IllFlower> (in case I wasn't explicit enough, it's your turn to poke around here a bit.)
[27-Jan-2013 20:41:32]  <Sumire> "Yeah, this is a good idea.  TRANSFORM!"
[27-Jan-2013 20:41:55]  <Miaka_Watanabe[Barcode]> ((grove washington junior - knucklehead --> makes me think that I should play this like a buddy-cop bust scene))
[27-Jan-2013 20:42:25]  <Yui> so, gas station or garage first?
[27-Jan-2013 20:42:34]  * Miaka_Watanabe[Barcode] supports the Kruger with her other hand and looks around. "Garage looks closer. Follow me."
[27-Jan-2013 20:42:37]  <IllFlower> the swirl of bright colors converging on this empty intersection might be enough to make someone think a UFO's landing here, if anyone were paying attention. **
[27-Jan-2013 20:42:48]  <Miaka_Watanabe[Barcode]> ((you told us we had to look around >:I))
[27-Jan-2013 20:43:04]  * Yuna isn't sure about transforming yet, but joins in to be consistent.
[27-Jan-2013 20:43:07]  <Sumire> "Yeah.  Also, I think the garage might give us more room to maneuver and less to get ambushed."
[27-Jan-2013 20:43:39]  <Yui> ((should somebody like, look up or something?))
[27-Jan-2013 20:44:04]  * Miaka_Watanabe[Barcode] weighs the tactical options, reaches the garage. She seems fixated, checking behind her at the gas station as she steadily looks at possible entrances. ((you guys do it if you want))
[27-Jan-2013 20:44:44]  <IllFlower> the building looks to be mostly constructed of concrete. a faded sign across the front reads "Murano Auto Shop".
[27-Jan-2013 20:45:23]  <IllFlower> the garage doors are securely closed. it doesn't look like there are any lights on inside.
[27-Jan-2013 20:45:54]  <IllFlower> off to the side is a small addition, probably where the owners of the repair shop had offices and waiting areas.
[27-Jan-2013 20:46:12]  <IllFlower> there's a smaller door there as well.
[27-Jan-2013 20:46:13]  <IllFlower> **
[27-Jan-2013 20:46:16]  <Sumire> "Is there even a way in, Miaka?"
[27-Jan-2013 20:46:58]  <Miaka_Watanabe[Barcode]> "Lots of locked doors. I'm not so sure we need to break-and-enter just yet...why don't we check the gas station?"
[27-Jan-2013 20:47:14]  <Sumire> "Alright.  I'll head over there."  Sumire walks towards the gas station.
[27-Jan-2013 20:47:18]  <IllFlower> I never said the doors were *locked*...
[27-Jan-2013 20:47:25]  <Miaka_Watanabe[Barcode]> ((welp))
[27-Jan-2013 20:47:30]  <Yuna> "Maybe we should at least try jiggling them..."
[27-Jan-2013 20:47:36]  <Yuna> "Maybe someone left one of them open?"
[27-Jan-2013 20:48:36]  * Miaka_Watanabe[Barcode] glances at Sumire, back at the addition's entrance. She raises the Kruger up and lines up beside the addition's door, on the lock-side of the door. She tries to turn the handle...
[27-Jan-2013 20:48:54]  <Miaka_Watanabe[Barcode]> raises the Kruger up on one hand and lines*
[27-Jan-2013 20:49:50]  <IllFlower> the door's slightly ajar already, and opens easily onto a waiting room. the chairs in here don't seem to have been touched for some time.
[27-Jan-2013 20:50:05]  <Miaka_Watanabe[Barcode]> "Sumire! Over here, this place is open!"
[27-Jan-2013 20:50:08]  <IllFlower> there are entrances to what look like back offices between the garage and here off to one side.
[27-Jan-2013 20:50:14]  <Sumire> "Alright.  Let's see what's inside."
[27-Jan-2013 20:50:22]  <Miaka_Watanabe[Barcode]> ((sorry about runnin' over you there >_<))
[27-Jan-2013 20:51:01]  <IllFlower> there are a fair few desks. papers strewn across them as well a few on the floor. filing cabinets. service manuals for old cars. **
[27-Jan-2013 20:52:23]  <Miaka_Watanabe[Barcode]> "Well...there are four of us, so...how about two people stand by the entrance, and someone goes in here with me?" Miaka has been perhaps watching too many tactical-police movies.
[27-Jan-2013 20:52:49]  <Miaka_Watanabe[Barcode]> ((and not enough to notice rainbows overhead.))
[27-Jan-2013 20:53:18]  <Sumire> "I'll join you, Miaka."
[27-Jan-2013 20:53:39]  <Yui> That leaves us on guard duty, Yuna
[27-Jan-2013 20:54:42]  <Yuna> ((Rainbows overhead?))
[27-Jan-2013 20:54:47]  <Miaka_Watanabe[Barcode]> ((the swirling colours))
[27-Jan-2013 20:54:55]  <Yui> ((Illflower's UFO comment))
[27-Jan-2013 20:54:56]  <Yuna> ((I thought illflower was just making a joke about transformation sequences))
[27-Jan-2013 20:54:58]  * Miaka_Watanabe[Barcode] puts the Kruger on her back, unable to really enter a building too conveniently with it.  She cautiously enters the building, checking corners as she goes.
[27-Jan-2013 20:55:00]  <IllFlower> Miaka and Sumire head further into the building. at the end of a short hallway is a large door labeled "GARAGE". there are a few pairs of shoes sitting beside it. **
[27-Jan-2013 20:55:12]  <IllFlower> yeah, it was just the transformation thing...
[27-Jan-2013 20:55:15]  * Yuna nods and waits at the front with Yui.
[27-Jan-2013 20:55:16]  <Miaka_Watanabe[Barcode]> ((oh. oops))
[27-Jan-2013 20:55:35]  <Sumire> "Well, I think we found our magical girl.  I can't see very many mechanics or ordinary homeless with that many pairs of shoes..."
[27-Jan-2013 20:56:20]  * Miaka_Watanabe[Barcode] looks, eyebrows raised. She then tries to open the door.
[27-Jan-2013 20:56:33]  <Yui> ((Nemo are we close enough to hear that))
[27-Jan-2013 20:56:40]  <IllFlower> they're work boots, Sumire. just so you know. ;)
[27-Jan-2013 20:57:11]  <Sumire> 14 >:|
[27-Jan-2013 20:57:27]  *** GMH <~glenn@pool-173-66-55-173.washdc.fios.verizon.net> has joined #madokamadness
[27-Jan-2013 20:57:28]  <BGTB2005> 14maybe they're stylish work boots?
[27-Jan-2013 20:57:37]  <Sumire> 14Sumire obviously got a terrible Sh roll again and thought they were fashionable boots
[27-Jan-2013 20:58:31]  <IllFlower> presumably one of you should open the door...
[27-Jan-2013 20:58:36]  <Miaka_Watanabe[Barcode]> ((I tried!))
[27-Jan-2013 20:58:38]  <IllFlower> oh, never mind, Miaka did.
[27-Jan-2013 20:59:07]  <IllFlower> the door is unlocked, and seems again to open all too easily.
[27-Jan-2013 20:59:23]  <Sumire> "Do you think we should call Yui and Yuna in?"
[27-Jan-2013 20:59:56]  <IllFlower> the first thing that draws Miaka's attention is the positive mess of stuff on the ground.
[27-Jan-2013 21:00:09]  <Miaka_Watanabe[Barcode]> ((answering after the stars))
[27-Jan-2013 21:00:34]  <IllFlower> blankets. photographs. a half-eaten slice of cake, topped with strawberries, in a box.
[27-Jan-2013 21:01:33]  <IllFlower> further beyond, one of the platforms for elevating cars is raised up above everyone's heads. there's nothing on there, though.
[27-Jan-2013 21:01:40]  <Miaka_Watanabe[Barcode]> ((oh, good, I hvae a Depressing playlist))
[27-Jan-2013 21:02:17]  <IllFlower> the walls, though, make Miaka do a double take. aside from the bulletin boards pinned with reminders, and random shelves of tools, there are words. everywhere.
[27-Jan-2013 21:02:41]  <IllFlower> they look like they've been haphazardly painted on the walls, dark strokes on the gray surface.
[27-Jan-2013 21:03:00]  <IllFlower> "what should I do?"
[27-Jan-2013 21:03:04]  <IllFlower> "what have I done?"
[27-Jan-2013 21:03:09]  <IllFlower> "nowhere... nowhere..."
[27-Jan-2013 21:03:16]  <IllFlower> "everything is over..."
[27-Jan-2013 21:03:31]  <IllFlower> and multiple times, over and over, one name:
[27-Jan-2013 21:03:38]  <IllFlower> "Mizuki, Mizuki, Mizuki..." **
[27-Jan-2013 21:04:22]  <Yuna> ((I'm sitll outside, right? ;-;))
[27-Jan-2013 21:04:41]  <Sumire> 14I think we're going to call you in
[27-Jan-2013 21:04:44]  <Sumire> 14miaka, stars
[27-Jan-2013 21:04:48]  <Miaka_Watanabe[Barcode]> ((one second))
[27-Jan-2013 21:05:25]  * Miaka_Watanabe[Barcode] looks, stunned. Her previous tenseness has been replaced with shock and gloom. Suddenly she remembers Sumire's question. "y...yeah. forgot we can probably just blast our way out of here if we need to..."
[27-Jan-2013 21:06:01]  <Sumire> "Alright.  YUI, YUNA, WE FOUND SOMETHING!"
[27-Jan-2013 21:06:22]  * Miaka_Watanabe[Barcode] stares through the doorway a little.
[27-Jan-2013 21:06:41]  <Yui> Hey Yuna, did you hear that?
[27-Jan-2013 21:06:49]  <Yuna> Y-yeah... I think this is important...!
[27-Jan-2013 21:07:06]  <Yui> Flashlight out and rolling pin ready?
[27-Jan-2013 21:07:10]  <Yuna> Yup!
[27-Jan-2013 21:07:13]  * Yuna tugs on Yui's hand and nervously but excitedly moves to run in
[27-Jan-2013 21:07:36]  * Yui follows eagerly along
[27-Jan-2013 21:08:16]  <Miaka_Watanabe[Barcode]> "You guys should probably look before we go in..."
[27-Jan-2013 21:08:52]  * Miaka_Watanabe[Barcode] turns away, absentmindedly looking towards their entrance in half-aware guard.
[27-Jan-2013 21:08:58]  <Miaka_Watanabe[Barcode]> their original entrance*
[27-Jan-2013 21:09:06]  * Yuna looks around, her face slowly changing expression as she sees the walls
[27-Jan-2013 21:09:39]  * Sumire stares, her mouth unconsciously opening.  "oh my god...."
[27-Jan-2013 21:09:43]  <IllFlower> the girls step into the garage. so far, there are still no signs of life, but the towers of blankets could be hiding anything... **
[27-Jan-2013 21:10:10]  * Yuna starts to sob a bit as her eyes go back and forth around the room
[27-Jan-2013 21:10:49]  <IllFlower> Yuna: Cool challenge. 2d6+Co.
[27-Jan-2013 21:11:03]  * Miaka_Watanabe[Barcode] walks in behind the others. She's starting to firm up again, though any previous internal conflict has visibly worsened. She eyes the blankets.
[27-Jan-2013 21:12:03]  <Yuna> +roll 2d6+6
[27-Jan-2013 21:12:04]  <rollermine> Yuna: (6+6)+6=18
[27-Jan-2013 21:12:12]  <Miaka_Watanabe[Barcode]> ((yuna suddenly becomes kamina))
[27-Jan-2013 21:12:15]  * Yuna is the coolest cool to ever cool
[27-Jan-2013 21:12:26]  <Sumire> 146,6,6
[27-Jan-2013 21:12:28]  <IllFlower> okay, Yuna's shaken, but calm.
[27-Jan-2013 21:12:39]  <Yuna> ((Actually, Yuna is frozen solid.))
[27-Jan-2013 21:12:49]  <IllFlower> Miaka_Watanabe[Barcode]: might want to ask for some flashlight assist...
[27-Jan-2013 21:12:56]  * Yui reaches out for Yuna's hand
[27-Jan-2013 21:13:17]  <Miaka_Watanabe[Barcode]> "Maybe something's under these blankets... Yuna, could you point the flashlight my way" Miaka unholsters the Kruger, slowly reaches forward to remove a blanket once the light's on her.
[27-Jan-2013 21:13:24]  <Miaka_Watanabe[Barcode]> to flip over a*
[27-Jan-2013 21:13:25]  * Yuna pulls her flashlight out of her purse, then reaches out her other hand to meet Yui's.
[27-Jan-2013 21:13:39]  <Yuna> ((oh wait, I'm transformed.  transformed magical girls don't have purses.  I think.  okay rewrite that with whatever makes sense))
[27-Jan-2013 21:14:06]  <Miaka_Watanabe[Barcode]> ((you summon the flashlight! gonna probably say that for the kruger if I ever return to this rp. less cumbersome))
[27-Jan-2013 21:14:09]  <Yui> ((yuna pulls the flashlight from between her boobs))
[27-Jan-2013 21:14:09]  <Nitya> 14out of her magic, lace-and-stars-covered witchflesh purse
[27-Jan-2013 21:14:16]  <Yuna> ((YUIIII))
[27-Jan-2013 21:14:31]  <Miaka_Watanabe[Barcode]> reaches forward using the barrel of the Kruger to flip over a*
[27-Jan-2013 21:14:46]  * Yuna points the flashlight towards Miaka while squeeing Yui's hand.
[27-Jan-2013 21:14:57]  <IllFlower> Yuna shines her flashlight across the room, catching nothing interesting until...
[27-Jan-2013 21:15:10]  <Sumire> 14.............a ghost!
[27-Jan-2013 21:15:43]  <Yuna> *SQUEEZING
[27-Jan-2013 21:15:59]  <Sumire> 14you're squeeing at the yuri potential
[27-Jan-2013 21:16:08]  <IllFlower> in a far corner of the garage, underneath a sheet entirely inadequate for the December chill, lies the figure of an unconscious girl.
[27-Jan-2013 21:16:39]  <Yuna> ((poni, you're projecting))
[27-Jan-2013 21:16:50]  <IllFlower> long, dark hair is almost positively scattered across her face and the floor below.
[27-Jan-2013 21:16:55]  <Sumire> 14hey, I'm not the one who squees over yuri.  That's aondeug
[27-Jan-2013 21:17:11]  <Yuna> ((Does Kei have long hair?))
[27-Jan-2013 21:17:19]  <Yuna> ((We'd know, right?  since she's in the school))
[27-Jan-2013 21:17:38]  <IllFlower> her body is thin, looking like it's just survived being dragged from the next city over.
[27-Jan-2013 21:17:59]  <Yui> ((Nemo's goal: DESTROY US ALL))
[27-Jan-2013 21:18:12]  <IllFlower> her face is gaunt, but it clearly belongs to Kei Shinagawa. **
[27-Jan-2013 21:18:33]  <Sumire> "Oh god, she looks really bad.  I actually feel bad for her, even if she did kill all these people."
[27-Jan-2013 21:18:33]  <Yuna> T-that's... that's... Kei...?  She looks really unwell...
[27-Jan-2013 21:18:38]  * Miaka_Watanabe[Barcode] looks up
[27-Jan-2013 21:19:11]  * Yui squeezes Yuna's hand "I can't say I was expecting this"
[27-Jan-2013 21:19:12]  <Yuna> It's... it's hard to believe she could be a magical girl...
[27-Jan-2013 21:19:23]  <Yuna> ... or that she could have even done those things...
[27-Jan-2013 21:19:59]  <Yuna> Part of me just wants to put her in a good bed and prper food...
[27-Jan-2013 21:20:20]  * Miaka_Watanabe[Barcode] turns, bringing the Kruger to bear, but immediately lowers it.
[27-Jan-2013 21:20:24]  <Nitya> 14but instead lets get to murderin
[27-Jan-2013 21:20:38]  <Miaka_Watanabe[Barcode]> "...That's her, huh..."
[27-Jan-2013 21:20:44]  <IllFlower> a quiet, tenuous voice reaches Miaka's ears. "don't come near... me..." **
[27-Jan-2013 21:20:45]  <Sumire> 14aoi would shoot first ask questions later
[27-Jan-2013 21:20:59]  <BGTB2005> 14does anyone have a duck?
[27-Jan-2013 21:21:25]  * Miaka_Watanabe[Barcode] looks at the others, looks back at Kei. "We...well, we need to do /something/..." she whispers.
[27-Jan-2013 21:22:14]  <Miaka_Watanabe[Barcode]> "Kei...wh...how long have you been here...?" Miaka offers, holding her position.
[27-Jan-2013 21:22:21]  <Miaka_Watanabe[Barcode]> offers quietly*
[27-Jan-2013 21:23:04]  <IllFlower> "don't come near me!" Kei says, more strongly this time, though her volume is still barely above a whisper.
[27-Jan-2013 21:23:31]  <Yuna> "Kei... you look terrible... what happened to you?"
[27-Jan-2013 21:24:17]  <IllFlower> "I shouldn't be here. I don't belong here. I don't belong here, I don't belong here..." **
[27-Jan-2013 21:24:41]  <Sumire> 14she's a creep, she's a weirdo, what is she doing here, she doesn't belong here
[27-Jan-2013 21:24:49]  <Miaka_Watanabe[Barcode]> (( :[ ))
[27-Jan-2013 21:25:01]  <Yui> Maybe she didn't mean to hurt all those people, maybe the attraction isn't her fault. But once they're within proximity, things turn ugly?
[27-Jan-2013 21:25:19]  <SpruceZeus> ((pffffft, lol@ponicalica))
[27-Jan-2013 21:26:27]  * Miaka_Watanabe[Barcode] glances behind her for manuevering room, but at the moment she's more shaky than at all prepared.
[27-Jan-2013 21:27:23]  <Sumire> "Don't worry, Miaka.  We're here."
[27-Jan-2013 21:27:33]  * Sumire holds Miaka's hand, the one not occupied by Kruger
[27-Jan-2013 21:27:40]  <Miaka_Watanabe[Barcode]> ((heh))
[27-Jan-2013 21:27:56]  <IllFlower> Kei slowly pushes herself out from underneath the covers. she's wearing nothing more than a poorly-fitting T-shirt and what might have been jeans at one point.
[27-Jan-2013 21:28:21]  <IllFlower> her breathing is ragged. she slumps against a nearby wall for support, standing slightly askew.
[27-Jan-2013 21:28:35]  <IllFlower> "why... why...?" **
[27-Jan-2013 21:30:02]  * Miaka_Watanabe[Barcode] is receptive, clasps a bit strongly as Kei rises. She swallows.
[27-Jan-2013 21:31:22]  * Miaka_Watanabe[Barcode] whispers to Sumire. "I...I know she's done these horrible things, but I can't help but feel like we should help her. Is this...wrong...?"
[27-Jan-2013 21:31:46]  <Sumire> "I don't know.  I feel the same way.  I wish there were a way to help her, make her no longer dangerous."
[27-Jan-2013 21:31:55]  <Miaka_Watanabe[Barcode]> ((metal (idoliside mix) --> thanks, itunes))
[27-Jan-2013 21:33:04]  <IllFlower> "no... no..."
[27-Jan-2013 21:33:25]  <IllFlower> Kei's eyes go wide as she looks at Miaka, and she roughly collapses to her knees.
[27-Jan-2013 21:33:48]  <IllFlower> "there's no help... for me now..." **
[27-Jan-2013 21:34:45]  * Miaka_Watanabe[Barcode] makes up her mind, approaches slowly. "Kei...people...I think...people can always...atone."
[27-Jan-2013 21:35:57]  <IllFlower> Yuna's flashlight catches Kei on and off, making Kei's shadow look as if it's flickering against the back wall of the garage.
[27-Jan-2013 21:36:32]  <IllFlower> "no. no. I killed them..."
[27-Jan-2013 21:36:58]  <Yuna> ((she needs grief seeds))
[27-Jan-2013 21:37:29]  <Sumire> 14yeah, I told Shannon "she's probably going to witchify"
